#Command used:	python MH.py -f trash_glycerol.igv -s 50000
#MH Acceptance-Rate:	53.45%
#Total Iterations Performed:	49999
#Sample Size:	50000
#phi estimate:	0.296810
#Orf	k	n	r	s	zbar
Rv0183	13	15	1	2	0.000000
Rv0184	6	11	2	16	0.000000
Rv0185	3	10	3	175	0.000000
Rv0186	17	34	7	416	0.597400
Rv0187	4	8	3	199	0.000000
Rv0188	8	11	1	2	0.000000
Rv0189c	0	23	23	1475	1.000000
Rv0190	2	3	1	2	-1.000000
Rv0191	17	20	1	2	0.000000
Rv0192	14	14	0	0	0.000000
Rv0193c	29	35	2	86	0.000000
Rv0194	44	56	2	31	0.000000
Rv0195	6	6	0	0	0.000000
Rv0196	7	7	0	0	0.000000
Rv0197	18	34	3	218	0.000020
Rv0198c	19	42	8	195	0.000080
Rv0199	6	12	2	23	0.000000
Rv0200	3	8	3	94	0.000000
Rv0201c	7	8	1	2	0.000000
Rv0202c	20	39	4	394	0.036440
Rv0203	4	4	0	0	0.000000
Rv0204c	7	20	10	564	0.993560
Rv0205	8	13	2	27	0.000000
Rv0206c	1	34	31	2127	1.000000
Rv0207c	6	9	2	135	0.000000
Rv0208c	3	12	4	153	0.000000
Rv0209	11	15	2	60	0.000000
Rv0210	9	13	2	36	0.000000
Rv0211	2	25	23	1654	1.000000
Rv0212c	6	7	1	2	0.000000
Rv0213c	26	31	1	2	0.000000
Rv0214	25	34	2	22	0.000000
Rv0215c	12	18	2	8	0.000000
Rv0216	10	24	4	62	0.000000
Rv0217c	14	21	2	43	0.000000
Rv0218	15	19	2	24	0.000000
Rv0219	8	12	1	2	0.000000
Rv0220	13	25	5	76	0.000000
Rv0221	17	28	2	38	0.000000
Rv0222	4	9	3	280	0.027120
Rv0223c	12	25	5	125	0.000000
Rv0224c	1	16	15	675	1.000000
Rv0225	0	20	20	988	1.000000
Rv0226c	2	30	28	1649	1.000000
Rv0227c	0	24	24	1239	1.000000
Rv0228	1	14	13	936	0.999980
Rv0229c	9	17	4	65	0.000000
Rv0230c	14	16	2	36	0.000000
Rv0231	33	37	1	2	0.000000
Rv0232	9	9	0	0	0.000000
Rv0233	10	12	1	2	0.000000
Rv0234c	14	24	2	31	0.000000
Rv0235c	13	27	8	291	0.660720
Rv0236A	1	4	3	13	-1.000000
Rv0236c	1	40	39	4051	1.000000
Rv0237	5	14	3	153	0.000000
Rv0238	1	13	7	147	0.000020
Rv0239	2	2	0	0	-1.000000
Rv0240	6	9	2	113	0.000000
Rv0241c	4	17	4	152	0.000000
Rv0242c	2	11	4	211	0.000020
Rv0243	11	20	4	59	0.000000
Rv0244c	18	23	1	2	0.000000
Rv0245	5	5	0	0	0.000000
Rv0246	20	34	4	51	0.000000
Rv0247c	0	12	12	711	0.999840
Rv0248c	5	39	23	1082	1.000000
Rv0249c	3	23	14	370	0.999920
Rv0250c	2	4	1	2	-1.000000
Rv0251c	6	6	0	0	0.000000
Rv0252	25	41	5	252	0.000460
Rv0253	6	8	1	2	0.000000
Rv0254c	5	6	1	2	0.000000
Rv0255c	11	15	1	2	0.000000
Rv0256c	24	32	4	212	0.000020
Rv0257	3	4	1	2	0.000000
Rv0258c	2	9	3	112	0.000000
Rv0259c	4	7	1	2	0.000000
Rv0260c	8	21	10	438	0.992720
Rv0261c	13	25	7	175	0.000000
Rv0262c	5	8	2	29	0.000000
Rv0263c	11	17	1	2	0.000000
Rv0264c	8	9	1	2	0.000000
Rv0265c	8	9	1	2	0.000000
Rv0266c	34	43	2	77	0.000000
Rv0267	15	16	1	2	0.000000
Rv0268c	11	13	1	2	0.000000
Rv0269c	9	11	1	2	0.000000
Rv0270	23	26	1	2	0.000000
Rv0271c	29	35	1	2	0.000000
Rv0272c	9	16	3	26	0.000000
Rv0273c	9	17	3	61	0.000000
Rv0274	5	9	2	69	0.000000
Rv0275c	5	7	1	2	0.000000
Rv0276	15	18	1	2	0.000000
Rv0277c	5	7	1	2	0.000000
Rv0278c	14	25	5	324	0.110680
Rv0279c	15	18	1	2	0.000000
Rv0280	23	26	3	148	0.000000
Rv0281	13	14	1	2	0.000000
Rv0282	1	24	23	1778	1.000000
Rv0283	0	24	24	1517	1.000000
Rv0284	0	61	61	3802	1.000000
Rv0285	0	5	5	186	0.993140
Rv0286	1	32	30	1245	1.000000
Rv0287	0	5	5	263	0.992680
Rv0288	0	8	8	275	0.999500
Rv0289	0	14	14	779	1.000000
Rv0290	0	19	19	1273	1.000000
Rv0291	0	13	13	1180	1.000000
Rv0292	2	17	15	685	0.999980
Rv0293c	15	27	3	23	0.000000
Rv0294	8	15	4	50	0.000000
Rv0295c	6	9	2	9	0.000000
Rv0296c	29	43	5	67	0.000000
Rv0297	7	14	4	236	0.000120
Rv0298	4	5	1	2	-1.000000
Rv0299	2	3	1	2	0.000000
Rv0300	5	5	0	0	0.000000
Rv0301	8	8	0	0	0.000000
Rv0302	6	8	1	2	0.000000
Rv0303	13	13	0	0	0.000000
Rv0304c	81	135	7	176	0.000000
Rv0305c	35	60	6	284	0.024760
Rv0306	7	9	1	2	0.000000
Rv0307c	6	8	2	66	0.000000
Rv0308	9	16	3	48	0.000000
Rv0309	7	13	4	82	0.000000
Rv0310c	6	12	2	8	0.000000
Rv0311	9	17	6	360	0.638220
Rv0312	6	22	7	308	0.607520
Rv0313	5	6	1	2	0.000000
Rv0314c	6	7	1	2	0.000000
Rv0315	8	11	2	61	0.000000
Rv0316	6	8	1	2	0.000000
Rv0317c	13	14	1	2	0.000000
Rv0318c	7	8	1	2	0.000000
Rv0319	7	9	1	2	0.000000
Rv0320	13	16	1	2	0.000000
Rv0321	6	7	1	2	0.000000
Rv0322	15	24	2	72	0.000000
Rv0323c	6	12	2	10	0.000000
Rv0324	6	12	3	28	0.000000
Rv0325	6	7	1	2	0.000000
Rv0326	4	10	4	110	0.000000
Rv0327c	9	23	9	218	0.008000
Rv0328	7	11	3	76	0.000000
Rv0329c	5	9	2	18	0.000000
Rv0330c	9	10	1	2	0.000000
Rv0331	14	18	2	30	0.000000
Rv0332	12	13	1	2	0.000000
Rv0333	3	4	1	2	0.000000
Rv0334	0	19	19	797	1.000000
Rv0335c	1	3	1	2	-1.000000
Rv0336	0	1	1	2	-1.000000
Rv0337c	1	23	22	1166	1.000000
Rv0338c	1	37	36	2394	1.000000
Rv0339c	18	30	3	80	0.000000
Rv0340	2	6	3	357	0.468160
Rv0341	9	19	4	194	0.000000
Rv0342	21	27	3	47	0.000000
Rv0343	10	13	1	2	0.000000
Rv0344c	9	12	1	2	0.000000
Rv0345	6	7	1	2	0.000000
Rv0346c	13	29	4	125	0.000000
Rv0347	2	18	16	811	0.999980
Rv0348	5	19	8	477	0.977040
Rv0349	5	8	2	33	0.000000
Rv0350	0	17	17	1510	1.000000
Rv0351	1	10	9	612	0.996120
Rv0352	2	14	12	1026	0.999880
Rv0353	5	6	1	2	0.000000
Rv0354c	5	6	1	2	0.000000
Rv0355c	126	167	4	157	0.000000
Rv0356c	8	10	1	2	0.000000
Rv0357c	0	24	24	1140	1.000000
Rv0358	2	14	11	531	0.999320
Rv0359	11	11	0	0	0.000000
Rv0360c	7	9	1	2	0.000000
Rv0361	5	8	2	29	0.000000
Rv0362	13	16	2	82	0.000000
Rv0363c	1	18	17	1021	1.000000
Rv0364	2	13	11	581	0.999580
Rv0365c	15	19	2	8	0.000000
Rv0366c	5	7	1	2	0.000000
Rv0367c	2	2	0	0	-1.000000
Rv0368c	14	18	2	178	0.000000
Rv0369c	4	7	2	122	0.000000
Rv0370c	7	21	8	435	0.956420
Rv0371c	1	7	5	482	0.862840
Rv0372c	2	6	3	166	0.000480
Rv0373c	17	39	9	222	0.002780
Rv0374c	3	6	2	102	0.000000
Rv0375c	4	8	3	251	0.002320
Rv0376c	14	21	2	189	0.000000
Rv0377	5	10	2	31	0.000000
Rv0378	1	3	2	56	-1.000000
Rv0379	3	4	1	2	0.000000
Rv0380c	5	11	4	169	0.000020
Rv0381c	14	17	1	2	0.000000
Rv0382c	0	13	13	443	0.999960
Rv0383c	1	9	8	633	0.988900
Rv0384c	0	25	25	2486	1.000000
Rv0385	16	20	3	148	0.000000
Rv0386	34	44	3	254	0.000200
Rv0387c	12	15	1	2	0.000000
Rv0388c	6	9	2	81	0.000000
Rv0389	7	9	1	2	0.000000
Rv0390	5	8	2	23	0.000000
Rv0391	9	22	6	396	0.604640
Rv0392c	11	16	2	32	0.000000
Rv0393	8	10	2	244	0.000180
Rv0394c	6	9	2	99	0.000000
Rv0395	7	8	1	2	0.000000
Rv0396	3	6	2	9	0.000000
Rv0397	3	4	1	2	0.000000
Rv0398c	4	6	2	155	0.000000
Rv0399c	13	25	7	136	0.000000
Rv0400c	6	11	3	31	0.000000
Rv0401	2	3	1	2	-1.000000
Rv0402c	38	56	6	143	0.000000
Rv0403c	5	7	1	2	0.000000
Rv0404	22	87	27	495	1.000000
Rv0405	36	124	17	303	0.999520
Rv0406c	11	12	1	2	0.000000
Rv0407	17	20	2	189	0.000000
Rv0408	24	44	5	164	0.000000
Rv0409	10	16	2	8	0.000000
Rv0410c	1	32	31	1947	1.000000
Rv0411c	0	9	9	563	0.997260
Rv0412c	0	23	23	1155	1.000000
Rv0413	7	8	1	2	0.000000
Rv0414c	0	9	9	493	0.998000
Rv0415	0	12	12	947	0.999880
Rv0416	0	4	4	85	-1.000000
Rv0417	1	16	15	672	0.999980
Rv0418	19	28	3	67	0.000000
Rv0419	17	23	3	90	0.000000
Rv0420c	7	7	0	0	0.000000
Rv0421c	4	10	4	238	0.001960
Rv0422c	0	14	14	678	1.000000
Rv0423c	1	22	20	1460	1.000000
Rv0424c	7	9	1	2	0.000000
Rv0425c	27	40	3	261	0.000180
Rv0426c	3	3	0	0	0.000000
Rv0427c	8	14	2	19	0.000000
Rv0428c	11	17	2	212	0.000000
Rv0429c	1	10	9	487	0.996700
Rv0430	0	3	3	66	-1.000000
Rv0431	1	10	9	386	0.998440
Rv0432	12	13	1	2	0.000000
Rv0433	18	24	3	108	0.000000
Rv0434	11	14	1	2	0.000000
Rv0435c	21	24	1	2	0.000000
Rv0436c	5	17	8	282	0.778340
Rv0437c	2	8	6	446	0.951780
Rv0438c	12	15	1	2	0.000000
Rv0439c	14	19	2	28	0.000000
Rv0440	0	13	13	1427	1.000000
Rv0441c	8	10	1	2	0.000000
Rv0442c	17	25	2	56	0.000000
Rv0443	11	15	3	87	0.000000
Rv0444c	5	9	1	2	0.000000
Rv0445c	8	10	1	2	0.000000
Rv0446c	12	17	2	20	0.000000
Rv0447c	23	27	1	2	0.000000
Rv0448c	16	16	0	0	0.000000
Rv0449c	19	23	2	33	0.000000
Rv0450c	35	84	14	370	0.997980
Rv0451c	4	15	6	144	0.000000
Rv0452	10	10	0	0	0.000000
Rv0453	17	23	2	107	0.000000
Rv0454	7	7	0	0	0.000000
Rv0455c	1	11	10	298	0.999640
Rv0456A	3	4	1	2	-1.000000
Rv0456c	8	11	1	2	0.000000
Rv0457c	20	39	7	174	0.000000
Rv0458	18	23	1	2	0.000000
Rv0459	4	6	1	2	0.000000
Rv0460	2	3	1	2	-1.000000
Rv0461	15	17	1	2	0.000000
Rv0462	0	27	27	1209	1.000000
Rv0463	3	4	1	2	0.000000
Rv0464c	11	15	2	97	0.000000
Rv0465c	22	28	1	2	0.000000
Rv0466	5	8	2	33	0.000000
Rv0467	5	19	9	342	0.973540
Rv0468	11	13	1	2	0.000000
Rv0469	17	25	3	100	0.000000
Rv0470A	10	11	1	2	0.000000
Rv0470c	9	12	2	185	0.000000
Rv0471c	10	11	1	2	0.000000
Rv0472c	5	11	4	180	0.000000
Rv0473	11	16	1	2	0.000000
Rv0474	7	8	1	2	0.000000
Rv0475	8	10	2	19	0.000000
Rv0476	6	7	1	2	0.000000
Rv0477	5	6	1	2	0.000000
Rv0478	3	3	0	0	0.000000
Rv0479c	1	13	12	675	0.999640
Rv0480c	14	16	1	2	0.000000
Rv0481c	9	11	1	2	0.000000
Rv0482	1	14	13	1033	1.000000
Rv0483	26	30	1	2	0.000000
Rv0484c	6	9	1	2	0.000000
Rv0485	19	23	2	110	0.000000
Rv0486	2	13	10	1112	0.999220
Rv0487	9	9	0	0	0.000000
Rv0488	8	9	1	2	0.000000
Rv0489	1	12	11	538	0.999540
Rv0490	10	16	4	36	0.000000
Rv0491	7	10	1	2	0.000000
Rv0492A	4	5	1	2	0.000000
Rv0492c	14	17	1	2	0.000000
Rv0493c	14	17	2	53	0.000000
Rv0494	6	8	2	38	0.000000
Rv0495c	10	14	2	19	0.000000
Rv0496	5	8	3	242	0.002180
Rv0497	2	15	9	476	0.987980
Rv0498	10	12	1	2	0.000000
Rv0499	6	6	0	0	0.000000
Rv0500	0	13	13	848	0.999880
Rv0500A	4	5	1	2	0.000000
Rv0500B	2	2	0	0	-1.000000
Rv0501	17	26	2	18	0.000000
Rv0502	11	19	5	67	0.000000
Rv0503c	20	21	1	2	0.000000
Rv0504c	2	9	7	265	0.578240
Rv0505c	3	21	15	880	1.000000
Rv0506	8	9	1	2	0.000000
Rv0507	40	82	13	200	0.006960
Rv0508	5	8	1	2	0.000000
Rv0509	0	22	22	1370	1.000000
Rv0510	1	13	12	527	0.999580
Rv0511	1	19	18	1519	1.000000
Rv0512	1	22	21	951	1.000000
Rv0513	5	7	2	148	0.000000
Rv0514	1	2	1	2	-1.000000
Rv0515	1	2	1	2	-1.000000
Rv0516c	9	9	0	0	0.000000
Rv0517	21	21	0	0	0.000000
Rv0518	11	12	1	2	0.000000
Rv0519c	8	10	1	2	0.000000
Rv0520	5	5	0	0	0.000000
Rv0521	4	5	1	2	0.000000
Rv0522	18	23	2	50	0.000000
Rv0523c	5	9	3	72	0.000000
Rv0524	0	21	21	1234	1.000000
Rv0525	1	10	9	504	0.997060
Rv0526	0	7	7	427	0.989900
Rv0527	0	5	5	508	0.912760
Rv0528	0	16	16	1373	1.000000
Rv0529	0	18	18	923	1.000000
Rv0530	15	18	1	2	0.000000
Rv0531	1	4	3	42	0.000000
Rv0532	12	21	3	158	0.000000
Rv0533c	9	12	1	2	0.000000
Rv0534c	1	12	11	633	0.999480
Rv0535	4	9	4	191	0.000040
Rv0536	10	12	1	2	0.000000
Rv0537c	17	20	1	2	0.000000
Rv0538	12	15	1	2	0.000000
Rv0539	3	6	1	2	0.000000
Rv0540	6	11	3	90	0.000000
Rv0541c	1	19	18	1250	1.000000
Rv0542c	1	15	14	911	1.000000
Rv0543c	0	3	3	257	0.961080
Rv0544c	6	7	1	2	0.000000
Rv0545c	9	14	2	8	0.000000
Rv0546c	6	8	2	56	0.000000
Rv0547c	7	10	1	2	0.000000
Rv0548c	2	13	11	786	0.999520
Rv0549c	3	4	1	2	0.000000
Rv0550c	1	3	2	14	-1.000000
Rv0551c	27	33	2	67	0.000000
Rv0552	12	19	3	55	0.000000
Rv0553	1	12	11	949	0.999620
Rv0554	12	14	2	72	0.000000
Rv0555	0	15	15	1346	1.000000
Rv0556	0	13	13	455	0.999900
Rv0557	6	15	5	407	0.446240
Rv0558	0	14	14	608	1.000000
Rv0559c	6	7	1	2	0.000000
Rv0560c	8	15	4	21	0.000000
Rv0561c	14	18	2	43	0.000000
Rv0562	1	15	14	704	0.999980
Rv0563	1	11	10	538	0.998760
Rv0564c	9	12	1	2	0.000000
Rv0565c	27	36	2	69	0.000000
Rv0566c	4	6	1	2	0.000000
Rv0567	17	20	2	63	0.000000
Rv0568	8	12	1	2	0.000000
Rv0569	4	4	0	0	0.000000
Rv0570	27	37	4	126	0.000000
Rv0571c	11	14	1	2	0.000000
Rv0572c	8	8	0	0	0.000000
Rv0573c	12	17	2	92	0.000000
Rv0574c	16	21	2	19	0.000000
Rv0575c	10	14	1	2	0.000000
Rv0576	11	20	2	14	0.000000
Rv0577	11	14	2	10	0.000000
Rv0578c	14	28	3	203	0.000000
Rv0579	11	15	2	88	0.000000
Rv0580c	7	10	2	97	0.000000
Rv0581	4	4	0	0	-1.000000
Rv0582	4	10	4	256	0.037360
Rv0583c	8	8	0	0	0.000000
Rv0584	42	62	6	196	0.000000
Rv0585c	20	42	7	229	0.000540
Rv0586	6	12	3	37	0.000000
Rv0587	6	13	3	70	0.000000
Rv0588	8	16	5	309	0.392380
Rv0589	15	27	4	103	0.000000
Rv0590	10	11	1	2	0.000000
Rv0590A	3	6	2	20	-1.000000
Rv0591	16	22	3	245	0.000260
Rv0592	18	29	3	57	0.000000
Rv0593	13	19	3	240	0.000080
Rv0594	26	30	1	2	0.000000
Rv0595c	8	8	0	0	0.000000
Rv0596c	0	5	5	185	0.991340
Rv0597c	10	14	2	107	0.000000
Rv0598c	5	7	2	12	0.000000
Rv0599c	3	6	2	56	0.000000
Rv0600c	3	4	1	2	0.000000
Rv0601c	2	4	2	32	0.000000
Rv0602c	8	11	1	2	0.000000
Rv0603	2	2	0	0	-1.000000
Rv0604	6	7	1	2	0.000000
Rv0605	10	10	0	0	0.000000
Rv0606	5	9	2	136	0.000000
Rv0607	1	1	0	0	-1.000000
Rv0608	1	2	1	2	-1.000000
Rv0609	4	7	3	69	0.000000
Rv0609A	1	2	1	2	-1.000000
Rv0610c	10	11	1	2	0.000000
Rv0611c	10	13	1	2	0.000000
Rv0612	6	6	0	0	0.000000
Rv0613c	15	17	1	2	0.000000
Rv0614	12	14	1	2	0.000000
Rv0615	4	5	1	2	0.000000
Rv0616c	3	6	1	2	0.000000
Rv0617	2	3	1	2	-1.000000
Rv0618	7	9	1	2	0.000000
Rv0619	5	9	3	67	0.000000
Rv0620	3	9	4	157	0.000000
Rv0621	5	9	3	97	0.000000
Rv0622	5	13	4	216	0.000160
Rv0623	1	3	2	141	0.003060
Rv0624	6	7	1	2	0.000000
Rv0625c	8	10	1	2	0.000000
Rv0626	3	4	1	2	0.000000
Rv0627	0	1	1	2	-1.000000
Rv0628c	3	4	1	2	0.000000
Rv0629c	11	16	2	23	0.000000
Rv0630c	20	34	6	143	0.000000
Rv0631c	12	19	3	180	0.000000
Rv0632c	6	14	4	117	0.000000
Rv0633c	11	14	2	162	0.000000
Rv0634A	3	6	3	89	0.004420
Rv0634B	0	4	4	156	0.981440
Rv0634c	11	13	1	2	0.000000
Rv0635	0	14	14	385	0.999980
Rv0636	1	8	7	366	0.993360
Rv0637	1	8	7	399	0.981480
Rv0638	0	9	9	355	0.999140
Rv0639	0	13	13	711	0.999920
Rv0640	0	6	6	299	0.996220
Rv0641	1	8	7	602	0.975000
Rv0642c	5	19	9	587	0.989100
Rv0643c	18	22	2	8	0.000000
Rv0644c	11	12	1	2	0.000000
Rv0645c	19	20	1	2	0.000000
Rv0646c	9	10	1	2	0.000000
Rv0647c	2	15	13	1355	1.000000
Rv0648	30	38	2	114	0.000000
Rv0649	2	4	2	140	0.000000
Rv0650	5	6	1	2	0.000000
Rv0651	0	6	6	455	0.969400
Rv0652	1	1	0	0	-1.000000
Rv0653c	6	10	2	102	0.000000
Rv0654	22	27	2	49	0.000000
Rv0655	9	15	2	48	0.000000
Rv0656c	4	5	1	2	0.000000
Rv0657c	1	2	1	2	-1.000000
Rv0658c	10	17	1	2	0.000000
Rv0659c	3	4	1	2	0.000000
Rv0660c	2	2	0	0	-1.000000
Rv0661c	5	5	0	0	0.000000
Rv0662c	6	6	0	0	-1.000000
Rv0663	28	47	10	332	0.945840
Rv0664	2	3	1	2	-1.000000
Rv0665	3	5	2	85	0.001000
Rv0667	0	39	39	3486	1.000000
Rv0668	4	52	46	3819	1.000000
Rv0669c	32	37	2	47	0.000000
Rv0670	4	5	1	2	0.000000
Rv0671	11	13	1	2	0.000000
Rv0672	18	27	3	61	0.000000
Rv0673	6	10	3	428	0.159780
Rv0674	2	7	4	279	0.103680
Rv0675	2	5	3	405	0.368360
Rv0676c	23	32	2	44	0.000000
Rv0677c	4	6	1	2	0.000000
Rv0678	4	5	1	2	0.000000
Rv0679c	4	6	1	2	0.000000
Rv0680c	3	3	0	0	-1.000000
Rv0681	9	13	2	79	0.000000
Rv0682	0	8	8	308	0.999260
Rv0683	0	5	5	410	0.942940
Rv0684	0	34	34	2016	1.000000
Rv0685	1	12	11	909	0.999440
Rv0686	12	12	0	0	0.000000
Rv0687	7	17	5	129	0.000000
Rv0688	12	19	2	53	0.000000
Rv0689c	3	4	1	2	-1.000000
Rv0690c	13	17	2	8	0.000000
Rv0691c	6	9	1	2	0.000000
