Rv_ID,2003A_Sassetti_log2FC,2003B_Sassetti_log2FC,2005_Rengarajan_log2FC,2006_Joshi_GI_1_log2FC,2006_Joshi_GI_2_log2FC,2011_Griffin_2_log2FC,2013_Zhang_1_log2FC,2013_Zhang_2_log2FC,2013_Zhang_3A_log2FC,2013_Zhang_3B_log2FC,2013_Zhang_3C_log2FC,2013_Zhang_3D_log2FC,2016_Korte_log2FC,2017_Mishra_1A_log2FC,2017_Mishra_1B_log2FC,2017_Mishra_1C_log2FC,2017_Mishra_1D_log2FC,2018_Rittershaus_1A_log2FC,2018_Rittershaus_1B_log2FC,2012_Zhang_log2FC,2015_Kieser_GI_1_log2FC,2015_Kieser_GI_2_log2FC,2015_Kieser_GI_3_log2FC,2015_Mendum_log2FC,2016_Nambi_log2FC,2017_Xu_1A_log2FC,2017_Xu_1B_log2FC,2017_Xu_1C_log2FC,2017_Xu_1D_log2FC,2017_Xu_1E_log2FC,2018_Carey_1A_log2FC,2018_Carey_1B_log2FC,2018_Carey_1C_log2FC,2018_Carey_1D_log2FC,2018_Carey_1E_log2FC,2018_Carey_1F_log2FC,2018_Carey_1G_log2FC,2018_Carey_1H_log2FC,2017B_DeJesus_1A_log2FC,2017B_DeJesus_1B_log2FC,2017B_DeJesus_1C_log2FC,marP_log2FC,Rv0950_log2FC,Rv3916c_log2FC,Rv0307c_log2FC,Rv3717_log2FC,ponA1_log2FC,Rv1565c_log2FC,Rv3684_log2FC,Rv0954_log2FC,Rv3811_log2FC,Rv1096_log2FC,Rv2680_log2FC,Rv1432_log2FC,Rv3594_log2FC,Rv3005c_log2FC,Functional_Category
Rv0016c,0.0,0.0,0,0,0,0.0,7.285402218862249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.4475988189401281,0.0023291989828502038,-0.5466927202890347,-1.0,-0.712608277800567,-0.9784846793452004,-0.8300403046276201,-0.3989957090809845,-4.123876427120828,-1.950948861694856,2.01,-0.21,1.59,2.34,0.71,1.79,-1.51,0.55,0.87,-0.57,-0.89,-5.25,-0.96,1.66,-3.98,-0.16,-0.16,0.0,0.28,-4.57,0.48,-0.84,0.93,3.95,0.41,-5.22,M
Rv0018c,0.0,0.0,-1,0,0,0.0,7.4838157772642555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.37619473681329,-0.5633182643799655,1.733899421899327,-1.0,1.35731634742865,0.26253459808901003,0.3304007272361303,0.7297229040333177,-1.0043411486236211,0.7747041865770022,0.02,0.99,-0.74,0.73,0.15,0.36,0.08,1.17,1.21,0.0,1.73,-2.02,-0.92,2.66,0.89,2.13,0.41,1.67,-0.51,-3.07,0.92,-0.61,4.02,5.37,0.03,-1.18,T
Rv0019c,0.0,0.0,-1,0,0,0.0,3.8542191857304386,-5.552601366645897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.077489899171606,-1.023022962664529,3.1762644074352013,-1.0,-0.7906313511270849,1.1830926318672252,0.7502609404002896,0.7107666647476639,-1.684119788346881,-0.0946525589304052,0.79,1.35,-1.4,-0.16,0.25,0.96,-0.39,-0.08,0.42,-0.69,0.8,-4.9,-1.24,-4.72,-1.44,3.04,-3.32,-3.17,0.15,-2.55,1.78,0.03,-0.46,2.08,1.08,-6.5,T
Rv0020c,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.076949640934824,0.3691971686569621,0.5863596364343009,-1.0,-0.443534677911193,-0.8095245141758509,-0.8222537984369425,0.5955752126001266,-2.55382219938877,-0.2457897551956572,1.82,0.95,0.56,1.02,0.59,1.11,0.19,0.27,-1.77,-2.84,-1.8,-3.28,-0.31,0.77,1.3,0.73,-0.44,-7.74,0.67,-2.69,0.45,-0.08,0.41,0.03,0.57,-4.5,T
Rv0021c,0.0,0.0,0,0,0,0.0,4.4412682723669175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.1238986596315672,0.3898648616664382,-0.1857049249508522,-1.0,-1.05941497209826,0.06115808456002188,0.037361400042132765,-0.2627336230236644,0.6974834705757601,-0.09535994289163073,0.41,-0.02,-0.7,-0.21,-0.1,0.1,0.43,0.02,0.38,-0.2,0.01,0.24,0.22,-0.75,2.15,-0.02,-0.08,-0.74,0.31,0.65,-0.08,0.06,-0.64,0.38,-0.41,1.39,R
Rv0023,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-3.818033696354695,-2.584713690868704,2.3219280948873617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.1,0.0,0.0,0.0,0.0,2.49,5.21,-0.59,-1.0,-0.71,1.05,0.5,0.0,0.0,-0.58,4.11,0.0,0.4,-2.32,-2.06,0.26,0.0,0.0,-0.3,0.0,K
Rv0024,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.800445899616425,-1.1774684952020749,1.448259958660942,-1.0,1.0674174236826999,-0.02796568828538461,0.08240071007841279,-0.037400410543095286,-0.0709239106937452,0.2752070017686035,-0.19,0.44,1.97,-0.16,0.13,-0.12,-0.27,0.34,-0.07,-0.04,-1.24,0.61,0.37,0.27,3.55,-0.61,0.11,0.58,0.1,0.06,-0.67,0.21,-1.59,1.87,-0.46,2.39,M
Rv0032,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2518608555900813,0.3315098163421564,0.1630504050547363,-1.0,-0.235244285601932,0.03119891674626101,0.1407262945232452,-0.1956555796354359,0.038556453015113616,-0.03642895843897809,0.4,0.72,0.09,0.28,0.13,-0.1,0.34,0.81,-1.13,-0.18,-0.71,0.28,0.19,-0.31,0.84,0.22,-0.01,-0.55,0.07,-0.11,0.32,0.13,-1.01,-0.86,0.27,0.44,H
Rv0033,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.298998319904773,0.07185898939229204,-0.3583597580336264,-1.0,-0.159171627469683,0.08971969062281387,-0.3424163794507399,0.01059064525210085,-0.2094289497943809,-0.2203595631817876,0.49,-1.42,-0.83,0.08,-0.54,-0.95,0.43,-0.27,1.28,1.04,-0.33,0.29,0.63,-3.11,-0.4,-0.39,0.05,0.22,0.6,-0.67,0.23,0.8,-0.74,1.11,-0.09,1.53,Q
Rv0034,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08916791626218941,0.6648097579265603,-0.8729078651683234,-1.0,-0.12381101996523401,-0.1960825230779913,-0.501653429404026,-0.649943688886098,-0.8792655111525629,-0.2882376444322943,3.04,1.56,0.23,1.03,1.2,1.13,1.5,1.11,2.09,2.88,2.58,-0.3,0.37,-0.33,1.27,-0.27,-0.09,3.79,0.24,0.82,0.62,0.55,2.99,6.33,0.33,0.27,R
