Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library
Rv0615,1.0,1.0,1.0,1.0,1.0,0.56117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9103,1.0,0.93871,0.9456100000000001,1.0,1.0,0.9966200000000001,1.0,0.99003,1.0,0.08267000000000001,0.44255,0.68902,1.0,0.55666,1.0,0.7017800000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.41561000000000003,1.0,1.0,0.53575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96854,1.0,1.0,0.7834300000000001,1.0,1.0,1.0,1.0
Rv0616A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9136799999999999,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
Rv0616c,1.0,1.0,1.0,1.0,1.0,0.57844,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8955799999999999,1.0,0.85051,1.0,1.0,1.0,0.9363799999999999,1.0,0.14939000000000002,1.0,0.58613,0.50594,1.0,1.0,0.49496999999999997,1.0,1.0,0.39958,1.0,1.0,1.0,1.0,1.0,0.48407,0.7751100000000001,1.0,1.0,0.90864,1.0,1.0,1.0,1.0,1.0,0.8555200000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8164899999999999,1.0,1.0,1.0,0.41431
Rv0617,1.0,1.0,1.0,1.0,1.0,0.47323999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9929100000000001,1.0,0.88654,0.9456100000000001,1.0,1.0,0.8916799999999999,1.0,1.0,1.0,0.57686,0.48415,1.0,0.03965,0.11534000000000001,1.0,0.93166,0.87951,1.0,1.0,1.0,1.0,1.0,0.9839399999999999,1.0,1.0,0.9455600000000001,0.9061299999999999,1.0,1.0,1.0,0.9752700000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.50665,1.0
Rv0618,1.0,1.0,1.0,1.0,1.0,0.8291299999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87516,1.0,0.97414,0.3156,1.0,1.0,0.9201299999999999,1.0,1.0,1.0,0.97011,1.0,1.0,0.46728000000000003,0.76225,1.0,1.0,1.0,1.0,0.6857800000000001,1.0,1.0,1.0,0.19657,1.0,1.0,0.7489,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8391799999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.23808
Rv0619,1.0,1.0,1.0,1.0,1.0,0.80476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9455899999999999,0.9183,1.0,0.64291,1.0,0.6429199999999999,0.71323,1.0,0.85557,0.57067,1.0,1.0,0.7894100000000001,0.22066999999999998,0.79228,1.0,1.0,1.0,0.44953000000000004,1.0,1.0,0.81224,0.17489000000000002,1.0,1.0,1.0,0.9357,1.0,0.85513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.60646,1.0,1.0,1.0,0.01403
Rv0620,1.0,1.0,1.0,1.0,1.0,0.76961,1.0,1.0,0.65825,1.0,1.0,1.0,1.0,1.0,0.8161,0.90312,1.0,1.0,1.0,0.40918000000000004,1.0,0.87019,1.0,1.0,0.80507,1.0,1.0,0.7077899999999999,1.0,0.7794300000000001,0.50122,1.0,1.0,1.0,1.0,0.79604,0.59154,1.0,1.0,1.0,0.28915,1.0,1.0,1.0,1.0,1.0,0.10624000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06396,0.24256
Rv0621,1.0,1.0,1.0,1.0,1.0,0.42673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87516,1.0,1.0,1.0,1.0,1.0,0.9733,1.0,1.0,1.0,0.7582,0.61044,1.0,0.47447,0.36718,1.0,0.9994799999999999,0.88994,0.99865,1.0,1.0,1.0,1.0,0.56996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48067,1.0,1.0,1.0,1.0
Rv0622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9133399999999999,1.0,1.0,1.0,1.0,0.26805,0.93885,0.7907,1.0,1.0,1.0,0.9363799999999999,1.0,0.66579,1.0,0.00243,1.0,1.0,0.66859,0.81328,1.0,1.0,0.23553000000000002,0.8788299999999999,1.0,1.0,1.0,1.0,0.48407,1.0,1.0,0.9383799999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0623,1.0,1.0,1.0,1.0,1.0,0.73055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82204,0.95493,1.0,0.55393,1.0,0.9183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37442,0.87065,1.0,1.0,1.0,1.0,1.0,0.31569,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9752700000000001,1.0,0.80919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8851700000000001,1.0,1.0,1.0,1.0
Rv0624,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96847,1.0,1.0,1.0,1.0,1.0,0.7189800000000001,1.0,0.79268,1.0,1.0,1.0,1.0,1.0,0.34589000000000003,1.0,0.7840199999999999,0.4349,1.0,1.0,1.0,1.0,1.0,0.97116,1.0,1.0,1.0,0.9870399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9408299999999999,1.0,1.0,1.0,1.0,1.0,0.8391299999999999,1.0,1.0,0.5271100000000001,1.0,1.0,1.0,1.0
Rv0625c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97019,1.0,1.0,1.0,0.58596,1.0,0.99003,1.0,0.89623,0.6157199999999999,1.0,0.56245,0.4124,1.0,1.0,0.63367,1.0,0.92542,1.0,1.0,1.0,0.95039,1.0,1.0,1.0,0.84572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81267,1.0,1.0,1.0,1.0
Rv0626,1.0,1.0,1.0,1.0,1.0,0.90097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9800399999999999,0.90565,0.98325,1.0,0.89107,0.29467,1.0,0.99003,1.0,0.10835,0.7612300000000001,1.0,0.42094,0.5663600000000001,1.0,0.41671,0.63857,1.0,0.49118,1.0,1.0,1.0,0.78518,1.0,1.0,0.66647,1.0,1.0,1.0,1.0,0.75498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58357,1.0,1.0,1.0,1.0,0.9560200000000001,1.0,1.0
Rv0627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6702,1.0,1.0,1.0,1.0,0.9461200000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69313,0.70127,1.0,1.0,0.8174899999999999
Rv0628c,1.0,1.0,1.0,1.0,1.0,0.55771,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69153,1.0,0.76351,1.0,1.0,1.0,1.0,1.0,0.8923,1.0,0.58011,0.23535,1.0,0.9025299999999999,0.69602,1.0,0.81896,0.55309,0.8356399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91786,1.0,1.0,1.0,1.0
