Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_carey_rv,carey_630_vs_carey_rv,carey_631_vs_carey_rv,carey_632_vs_carey_rv,carey_641_vs_carey_rv,carey_662_vs_carey_rv,carey_663_vs_carey_rv,carey_667_vs_carey_rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library
Rv0001,1.0,1.0,1.0,1.0,1.0,0.73174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87516,1.0,1.0,0.37562,1.0,1.0,0.49733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89656,1.0,1.0,0.64058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0003,1.0,1.0,1.0,0.43843999999999994,1.0,0.47323999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5461600000000001,1.0,1.0,0.9708100000000001,1.0,0.91407,1.0,1.0,0.25783,1.0,0.57712,0.7528600000000001,1.0,0.29773,0.0285,1.0,0.91889,0.50316,0.06529,0.11885,1.0,1.0,1.0,0.25111,0.77517,1.0,0.33318000000000003,0.45962,1.0,1.0,1.0,0.9752700000000001,0.21696,0.0,1.0,1.0,1.0,0.55248,1.0,1.0,1.0,1.0,1.0,0.68823,1.0,1.0,0.99313,1.0,1.0,1.0,0.060520000000000004
Rv0004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63661,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8460700000000001,1.0,1.0,0.22244,0.84496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869100000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999
Rv0005,1.0,1.0,1.0,1.0,1.0,0.62111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6996100000000001,1.0,1.0,1.0,1.0,1.0,0.9183,1.0,0.30856999999999996,1.0,0.09171,0.5967100000000001,1.0,0.50131,1.0,1.0,0.41671,0.4957,0.40093,1.0,1.0,1.0,1.0,0.9924200000000001,1.0,1.0,1.0,0.9547100000000001,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70716,1.0,1.0,1.0,0.37106
Rv0006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91725,1.0,0.95168,0.7467199999999999,1.0,1.0,0.9973200000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8749899999999999,1.0,0.60207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0007,1.0,1.0,1.0,0.7025899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49662,0.66911,0.9304399999999999,0.9456100000000001,1.0,0.9274600000000001,0.7056899999999999,1.0,0.00263,1.0,0.0,1.0,1.0,1.0,0.0,0.6309,0.26538,0.9654200000000001,0.34492,1.0,1.0,1.0,1.0,0.17146,0.76088,1.0,0.09417,0.02765,1.0,1.0,1.0,1.0,0.21696,0.0,1.0,0.39684,0.72801,1.0,0.0,0.0,0.0,0.5596399999999999,1.0,1.0,0.0798,1.0,1.0,1.0,1.0,0.14509,0.0
Rv0008c,1.0,1.0,1.0,1.0,1.0,0.81476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5402100000000001,1.0,0.9400200000000001,1.0,1.0,1.0,0.9973200000000001,1.0,0.28315999999999997,0.665,0.79635,0.6317699999999999,1.0,0.29906,0.8297100000000001,1.0,0.22691999999999998,0.8743700000000001,1.0,1.0,1.0,1.0,1.0,0.85082,1.0,1.0,1.0,0.57944,0.43527,0.8557299999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0009,1.0,1.0,1.0,0.98715,1.0,0.54984,1.0,1.0,0.9150799999999999,1.0,1.0,1.0,1.0,0.24950999999999998,0.85929,0.98693,1.0,1.0,1.0,0.45113000000000003,1.0,0.10352,1.0,0.46221999999999996,1.0,1.0,1.0,0.16963,1.0,0.9950700000000001,0.6218600000000001,1.0,1.0,1.0,1.0,1.0,0.7581399999999999,1.0,1.0,0.82186,0.93255,1.0,1.0,1.0,0.56087,0.00499,0.03005,1.0,0.77561,0.01847,0.8671,0.54374,1.0,1.0,1.0,1.0,1.0,1.0,0.26349,1.0,1.0,1.0,0.87766,0.00201
Rv0010c,1.0,1.0,1.0,1.0,1.0,0.52056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70292,1.0,0.9456100000000001,1.0,1.0,0.9363799999999999,1.0,1.0,1.0,0.68505,0.99346,1.0,0.91784,0.73678,1.0,0.84403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461,1.0,1.0,1.0,0.86321,1.0,1.0,1.0,1.0,0.75575,1.0,1.0,1.0,1.0,1.0,1.0,0.9729700000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0011c,1.0,1.0,1.0,0.42482,1.0,0.73055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35181,1.0,1.0,0.80401,1.0,0.48778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4268,1.0,1.0,0.36764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999
Rv0012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99931,1.0,0.97959,0.75236,1.0,1.0,0.96799,1.0,0.1362,1.0,0.7008800000000001,0.81319,0.08918999999999999,0.8292700000000001,0.09314,1.0,0.08255,1.0,0.0,0.33762,1.0,1.0,0.62359,1.0,1.0,1.0,0.0,1.0,1.0,0.13574,1.0,0.62862,1.0,0.12637,0.10415,0.013309999999999999,0.11039000000000004,0.06616,1.0,1.0,0.30553,1.0,1.0,1.0,1.0,1.0,0.97711,1.0,1.0,1.0,0.08855
Rv0013,1.0,1.0,1.0,1.0,1.0,0.77751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9456100000000001,1.0,1.0,0.46763999999999994,1.0,0.99003,1.0,0.4577100000000001,0.64554,1.0,1.0,0.81739,1.0,0.84403,0.8728100000000001,1.0,1.0,1.0,1.0,1.0,0.65566,1.0,1.0,0.68025,0.0,1.0,1.0,1.0,1.0,1.0,0.58444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.70407,1.0,1.0,0.2267,0.20838
Rv0014c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87516,1.0,1.0,1.0,1.0,1.0,0.74941,1.0,1.0,1.0,0.8195399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96104,0.97403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0015c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86675,1.0,0.9666,1.0,1.0,1.0,0.9807,1.0,1.0,1.0,0.59515,0.86179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37727,1.0,1.0,0.9604600000000001,1.0,1.0,1.0,1.0,0.9752700000000001,1.0,0.8260200000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91685,1.0,1.0,1.0,1.0
Rv0016c,1.0,1.0,1.0,0.0,1.0,0.61537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01341,0.70292,0.48503,0.0049299999999999995,1.0,0.0,1.0,1.0,1.0,1.0,0.46396000000000004,0.86179,1.0,0.0,0.57067,1.0,0.25589,0.72636,0.8889100000000001,1.0,1.0,1.0,1.0,0.14154,0.76088,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.30705,0.0,0.0,0.01625,1.0,0.0,1.0,0.12150999999999999,0.0,1.0,1.0,0.20594,1.0,0.8275,1.0,1.0,0.04359,0.0
Rv0017c,1.0,1.0,1.0,0.0,1.0,0.35598,1.0,1.0,1.0,1.0,1.0,0.9393100000000001,1.0,0.33999,0.9067700000000001,0.55501,0.03884,1.0,0.047639999999999995,1.0,1.0,0.25208,1.0,0.43222,0.19835,0.66975,0.0,0.11607,1.0,0.9479200000000001,0.06577000000000001,0.60724,1.0,1.0,1.0,1.0,0.07277,0.528,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.72025,0.0,0.0,0.29179,1.0,0.16144,1.0,0.00621,0.0,1.0,1.0,0.0,1.0,0.67784,1.0,1.0,0.0,0.0
Rv0018c,1.0,1.0,1.0,0.05852,1.0,1.0,1.0,1.0,0.32786,1.0,1.0,1.0,1.0,0.92448,0.79192,0.98693,0.9456100000000001,1.0,1.0,1.0,1.0,0.55569,0.92971,0.10464000000000001,0.27726,1.0,0.9345100000000001,0.71725,1.0,0.9994799999999999,0.79609,1.0,0.05792000000000001,1.0,1.0,1.0,0.28189000000000003,0.90535,1.0,0.0399,0.81585,1.0,1.0,1.0,0.6975100000000001,0.8482200000000001,0.0,1.0,0.04372,0.22981,0.9007700000000001,1.0,1.0,1.0,1.0,0.09811,1.0,1.0,1.0,0.01425,1.0,1.0,1.0,0.0
Rv0019c,1.0,1.0,1.0,0.020640000000000002,1.0,1.0,1.0,1.0,0.055420000000000004,0.64125,1.0,1.0,1.0,0.88036,0.16369,0.74415,0.9437399999999999,1.0,0.97245,0.9183,1.0,1.0,1.0,0.65722,0.64286,1.0,0.0,1.0,1.0,0.16412000000000002,1.0,1.0,1.0,1.0,1.0,0.14397000000000001,0.39188,0.7805300000000001,1.0,0.0,0.08326,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.88408,0.08447,1.0,1.0,1.0,1.0,1.0,0.70506,0.84305,1.0,0.035,0.00387
Rv0020c,1.0,1.0,1.0,0.50673,1.0,0.56108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4234100000000001,0.9689399999999999,1.0,0.80401,1.0,0.76048,1.0,1.0,0.98209,1.0,0.60931,1.0,1.0,0.22355,0.25606999999999996,1.0,0.3415,1.0,1.0,1.0,1.0,1.0,1.0,0.48813999999999996,0.98303,1.0,0.0,0.9071299999999999,1.0,1.0,1.0,1.0,1.0,0.03442,0.41752,0.016309999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5718,0.73845,1.0,0.5521,1.0,1.0,1.0,1.0
Rv0021c,1.0,1.0,1.0,1.0,1.0,0.81316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45851000000000003,0.9708100000000001,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.86479,1.0,0.8033600000000001,0.57067,1.0,0.43823999999999996,0.76269,1.0,1.0,1.0,1.0,1.0,0.9807100000000001,1.0,1.0,0.98301,1.0,1.0,1.0,1.0,0.43268,1.0,0.8392200000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91719,1.0,1.0,1.0,1.0,1.0,1.0,0.52769
Rv0022c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9644299999999999,1.0,0.98693,1.0,1.0,1.0,0.9663,1.0,1.0,1.0,0.31953000000000004,0.22623000000000001,1.0,0.33383,0.57309,1.0,0.21825999999999998,0.57122,0.8002,1.0,1.0,1.0,1.0,0.48813999999999996,0.9459700000000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9752700000000001,1.0,0.61943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65161,1.0,1.0,1.0,1.0
Rv0023,1.0,1.0,1.0,0.5242899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63865,1.0,1.0,1.0,1.0,1.0,0.49525,0.7007399999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.50162,1.0,1.0,0.84634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8174899999999999
Rv0024,1.0,1.0,1.0,1.0,1.0,0.57819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85349,1.0,0.67448,0.99321,1.0,1.0,0.9898100000000001,1.0,1.0,1.0,0.21495999999999998,0.32042,1.0,0.85557,0.81866,1.0,0.98334,0.56263,0.59772,1.0,1.0,1.0,1.0,0.50162,0.90535,1.0,0.81021,0.99829,1.0,1.0,1.0,0.81255,1.0,0.99235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6594399999999999,1.0,1.0,1.0,1.0
Rv0025,1.0,1.0,1.0,1.0,1.0,0.8477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7819,0.97349,1.0,1.0,1.0,0.8628,0.87571,0.90723,0.6795899999999999,1.0,0.87513,0.62535,1.0,0.25808000000000003,0.62341,1.0,0.6023,1.0,1.0,1.0,1.0,1.0,0.69617,0.70665,1.0,1.0,1.0,0.80556,1.0,1.0,1.0,0.9752700000000001,1.0,0.53756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6905100000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0026,1.0,1.0,1.0,1.0,1.0,0.27708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9364,0.9800399999999999,0.78728,0.89051,1.0,0.95225,0.9973200000000001,1.0,0.82901,1.0,0.97375,0.8948299999999999,1.0,0.06964,0.24958000000000002,1.0,0.93895,0.61553,1.0,0.33762,1.0,1.0,1.0,0.78361,1.0,1.0,0.9189,0.9392799999999999,1.0,1.0,1.0,0.9752700000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69313,1.0,1.0,1.0,1.0
Rv0027,1.0,1.0,1.0,0.95681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75895,0.9658200000000001,1.0,0.85467,0.9966200000000001,1.0,1.0,1.0,0.57031,0.75841,1.0,0.85557,1.0,1.0,0.5965699999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.74769,0.9935299999999999,1.0,1.0,0.67077,1.0,1.0,1.0,0.39308000000000004,1.0,0.32188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58126
Rv0028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6218100000000001,1.0,0.75527,1.0,1.0,1.0,0.9206,1.0,0.99003,1.0,0.10714000000000001,0.64286,1.0,0.94232,0.82004,1.0,1.0,0.9940899999999999,1.0,0.8779299999999999,1.0,1.0,1.0,0.31981,1.0,1.0,1.0,0.99829,0.84346,1.0,1.0,0.7161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2642,1.0,1.0,0.54577,1.0
Rv0029,1.0,1.0,1.0,1.0,1.0,0.42596999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93004,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.93875,0.63057,1.0,0.69687,0.24331999999999998,0.34492,0.7759999999999999,1.0,1.0,1.0,0.8173600000000001,1.0,1.0,0.98301,1.0,1.0,1.0,1.0,1.0,1.0,0.93416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9072,1.0,1.0,0.68405,1.0,1.0,1.0,1.0
Rv0030,1.0,1.0,1.0,1.0,1.0,0.51665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87516,0.98136,0.94015,0.8383799999999999,1.0,0.83593,0.87571,1.0,0.61358,1.0,0.5874199999999999,0.6420399999999999,1.0,1.0,0.5676100000000001,1.0,0.42186,0.6879,1.0,1.0,1.0,1.0,1.0,0.643,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9752700000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7979999999999999,1.0,1.0,0.70407,1.0,1.0,1.0,1.0
Rv0031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87516,1.0,1.0,0.9456100000000001,1.0,1.0,0.943,1.0,0.51805,1.0,0.3849,1.0,1.0,0.8279700000000001,1.0,1.0,0.79443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38971999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0032,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8647100000000001,0.46107,1.0,0.97545,1.0,1.0,0.94976,0.95263,0.9529200000000001,1.0,0.81789,0.40160999999999997,1.0,0.85557,0.5855,1.0,0.85182,0.31477,1.0,1.0,1.0,1.0,1.0,0.7109,1.0,1.0,0.91599,0.67077,1.0,1.0,1.0,1.0,1.0,0.74364,1.0,1.0,0.69928,1.0,1.0,1.0,1.0,1.0,1.0,0.8776799999999999,1.0,1.0,0.45688999999999996,1.0,1.0,1.0,1.0
Rv0033,1.0,1.0,1.0,1.0,1.0,0.6964199999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38955,0.74269,1.0,1.0,0.5574,0.9579799999999999,1.0,0.60511,1.0,0.98114,0.73418,1.0,0.7571399999999999,1.0,1.0,1.0,0.8877,0.91766,1.0,1.0,1.0,1.0,0.5301100000000001,1.0,1.0,0.98156,0.97625,1.0,0.68772,1.0,1.0,1.0,0.92105,1.0,1.0,0.80345,1.0,1.0,1.0,1.0,1.0,1.0,0.9555799999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0034,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53405,0.9800399999999999,0.95168,0.9456100000000001,1.0,0.9266,0.79643,1.0,0.13493,1.0,0.58028,0.59737,1.0,0.8652,0.12475,1.0,0.8218,0.5057,1.0,0.1302,1.0,1.0,1.0,0.97957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6884600000000001,1.0,1.0,1.0,1.0
Rv0035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95575,0.9456100000000001,1.0,1.0,0.49053,0.6422899999999999,0.9205,1.0,0.8672799999999999,1.0,1.0,0.37773,0.80093,1.0,0.99219,0.7199300000000001,1.0,1.0,1.0,1.0,1.0,0.93145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9752700000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.80087,1.0,1.0,1.0,1.0
Rv0036c,1.0,1.0,1.0,0.50907,1.0,0.47323999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.26805,1.0,0.88321,1.0,1.0,1.0,0.9183,1.0,1.0,1.0,0.6158600000000001,0.6317699999999999,1.0,0.42978,0.12862,1.0,0.91061,0.45995,0.59291,1.0,1.0,1.0,1.0,0.12264000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75756,1.0,0.81053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9369200000000001,1.0,1.0,0.54496,1.0,1.0,1.0,1.0
Rv0037c,1.0,1.0,1.0,0.72734,1.0,0.70519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.90225,0.9456100000000001,1.0,1.0,0.87571,1.0,0.52556,1.0,0.8500200000000001,1.0,1.0,0.70873,0.40815,1.0,0.84403,1.0,1.0,1.0,1.0,1.0,1.0,0.61819,1.0,1.0,1.0,0.84572,1.0,1.0,1.0,0.7711600000000001,1.0,0.72436,1.0,0.49513999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9363799999999999,1.0,0.018680000000000002,1.0,0.13504000000000002,0.86179,1.0,1.0,0.17733,1.0,0.02157,0.52069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.80576,0.78935,1.0,1.0,1.0,1.0,1.0,0.7614,1.0,1.0,0.034010000000000006,0.52635,1.0,1.0,1.0,1.0,1.0,0.99697,1.0,1.0,0.98455,1.0,1.0,1.0,0.78457
Rv0039c,1.0,1.0,1.0,1.0,1.0,0.47323999999999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9698,0.9707399999999999,0.97414,0.85769,1.0,1.0,1.0,1.0,0.9529200000000001,1.0,0.04106,0.5187,1.0,0.23365,0.16909000000000002,1.0,0.84403,0.74953,1.0,1.0,1.0,1.0,1.0,0.70052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3295,1.0,1.0,1.0,1.0,1.0,1.0,0.82896,1.0,1.0,0.69704,1.0,1.0,1.0,1.0
Rv0040c,1.0,1.0,1.0,1.0,1.0,0.5787899999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8955799999999999,0.39716999999999997,0.97414,1.0,1.0,1.0,0.63976,1.0,1.0,1.0,0.30813,0.5187,0.59097,0.70419,0.95519,1.0,0.84403,0.9791,1.0,0.66125,1.0,1.0,1.0,0.48407,1.0,1.0,0.29018,0.26106,1.0,1.0,1.0,0.28605,1.0,0.39261999999999997,1.0,1.0,0.06959,1.0,1.0,1.0,1.0,1.0,1.0,0.5718,1.0,1.0,0.44354,1.0,1.0,1.0,0.00549
Rv0041,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7907,1.0,1.0,0.8375100000000001,0.49525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6188100000000001,1.0,0.85088,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21300999999999998,0.12580999999999998
