Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C,B6,BXD102,BXD29,BXD39,BXD40,BXD48a,BXD51,BXD54,BXD56,BXD60,BXD62,BXD67,BXD69,BXD73,BXD73b,BXD77,BXD79,BXD90,BXD93,BXD9,DBA
Rv0012,-,,,,,,,0.000401215,0.004086613,,,,,,,,,0.9271,0.574884757218935,0.7121202122946,0.396979620413926,0.0082349211224892,0.1953189381,0.5122896175,0.0439032609,0.010116,1.0,0.238069,0.033479,0.211085,1.0,1.0,0.689,1.0,1.0,1.0,1.0,1.0,0.12998474,0.13657149,0.05375462,1.0,0.28893,1.0,0.09208,0.65281,1.0,1.0,1.0,1.0,1.0,0.8269,1.0,0.86012,0.50222,1.0,1.0,0.92482,1.0,0.2352,1.0,0.83601
Rv0013,trpG,,,,,,,,,,,,,,,,,0.0066,0.0796016705856282,0.701428098980721,0.813867322874145,0.8256697368210139,0.4389651799,,,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03346794,0.01564489,0.01525875,1.0,1.0,1.0,0.85217,1.0,1.0,1.0,0.76718,1.0,1.0,0.70221,1.0,1.0,1.0,0.97173,1.0,1.0,1.0,1.0,0.99131,1.0
Rv0014c,pknB,0.005660464,,,,,,,,,,,,,,,,0.0714,0.807989463123195,0.337894700424811,0.89406315206797,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10848757,0.10371739,0.10163993,1.0,0.99933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0015c,pknA,0.00062543154,,,,,,,,,,,,,,,,0.0325,0.644890761772133,0.267524297897676,0.895760227801774,,,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11592006,0.09792451,0.09621023,1.0,1.0,1.0,0.96889,1.0,1.0,1.0,1.0,1.0,0.73724,0.85444,1.0,1.0,1.0,0.99935,1.0,1.0,1.0,1.0,1.0,1.0
Rv0016c,pbpA,,,,,,,1.11e-10,2.47e-11,,,,,,,,,0.596,0.760274245901279,0.936921137766693,0.708869757601112,0.0031587483189371,0.4923549161,0.4069538462,0.4841800915,0.020987,0.080321,1.0,0.0,7.8e-05,0.6192,1.0,0.9111,0.9905,1.0,0.922,0.0,1.0,0.13069724,0.11409043,0.12268444,1.0,1.0,1.0,0.91725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99958
Rv0017c,rodA,,,,,,,4.78e-13,2.94e-10,,,,,,,,,0.8326,0.453960679136116,0.945387549752509,0.385021789818443,0.0068741705394123,0.4549827542,0.5122896175,0.509836727,0.000354,1.0,1.0,0.0,0.070388,1.0,1.0,0.7722,1.0,1.0,1.0,0.4262,1.0,0.00900464,0.12125403,0.00984584,1.0,1.0,1.0,0.99362,1.0,1.0,1.0,1.0,0.91116,1.0,0.35455,0.44345,1.0,1.0,0.494,1.0,1.0,1.0,0.92183,1.0,0.44232
Rv0018c,ppp,,,,,,,0.000135,7.68e-07,,,,,,,,,0.363,0.80219386562449,0.321143839128511,0.275712280917932,0.1111663902341302,0.1986961938,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6913,1.0,1.0,1.0,1.0,1.0,0.12000206,0.11666495,0.07622825,0.20107,0.44303,0.11503,0.0164,0.58877,1.0,1.0,0.72034,0.27708,1.0,0.81789,0.07733,0.14874,0.05347,0.18776,0.63385,0.16872,0.14963,0.68696,1.0,0.08112
Rv0019c,-,,,,,,,5.68e-05,0.005346102,0.036291718,,,,,,,,,0.0640850600441758,0.269307131093487,0.73188949201048,0.0577059590074879,0.4822438178,0.5122896175,0.509836727,0.101256,0.978326,0.86167,0.000911,1.0,1.0,1.0,0.1301,1.0,1.0,1.0,1.0,1.0,0.14418983,0.1142916,0.12294495,0.12277,0.61755,0.3648,0.08366,1.0,1.0,1.0,1.0,0.94413,1.0,0.85988,0.07481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Rv0020c,TB39.8,,,,,,,,,,,,,,,,,0.2565,0.463398616866032,0.775033183059178,0.64823424797615,0.0070865563192936,0.4780202643,0.5122896175,0.4050350975,1.0,1.0,1.0,0.003208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07087945,0.03394344,0.05705583,1.0,1.0,1.0,0.78921,1.0,1.0,1.0,1.0,1.0,0.92361,0.72446,0.74556,1.0,1.0,0.95725,1.0,1.0,1.0,1.0,1.0,1.0
Rv0021c,-,,,,,,,0.0355,0.000316903,,,,,,,,,0.9838,0.68627480022952,0.747574790960998,0.292885086433197,0.0183111817455859,0.1506239278,0.5122896175,0.509836727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.525,1.0,1.0,1.0,1.0,1.0,0.19454452,0.18999922,0.18720284,1.0,0.90167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44534,0.99279,1.0,1.0,1.0,1.0,1.0,1.0,0.5126,1.0,0.65309
