Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C
Rv0014c,pknB,-4.469875227659371,,,,,,,,,,,,,,,,,-0.3948184331272289,0.0,-3.246427701164162,,1.09953030594159,-0.456997837935686,-0.260612553530544,0.0,0.0,-0.3219280948873623,-0.15200309344505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.59,-0.99,-0.72
Rv0015c,pknA,-4.163953493413429,,,,,,,,,,,,,,,,,-3.971341827709863,-6.074209154152944,-3.110544273082393,,1.7162000327659,-1.54039796480305,-0.988423940814756,-0.9151971589640144,-2.238610931894576,-0.1666978225776227,-0.7761361914468838,-1.397963985919902,0.26,0.27,2.05,1.07,0.99,-0.29,-0.12,1.71,-0.65,-0.99,-0.72
Rv0016c,pbpA,,,,,,,-7.199672344836364,-7.285402218862249,,,,,,,,,,0.4475988189401281,0.002329198982850205,-0.5466927202890347,,-0.712608277800567,-3.82946341569429,-2.19521684036948,-0.9784846793452003,-0.8300403046276201,-0.3989957090809845,-4.123876427120828,-1.950948861694856,2.01,-0.21,1.59,2.34,0.71,1.79,-1.51,0.55,0.87,-0.57,-0.89
Rv0017c,rodA,,,,,,,-8.78135971352466,-5.100136671285449,,,,,,,,,,1.514407925703058,1.423577755079121,-2.452390312920507,,-0.552812901405973,-1.37476999977315,-1.38101469243558,-2.096165244225045,-0.9787661655607809,-0.3333801679952991,-3.56733659546241,-2.179765440597379,1.2,-0.24,1.89,1.65,0.59,1.35,-0.75,0.11,3.31,0.91,2.8
Rv0018c,ppp,,,,,,,-5.494290525747287,-7.483815777264256,,,,,,,,,,1.37619473681329,-0.5633182643799655,1.733899421899327,,1.35731634742865,-0.704941679896356,-2.13640525401861,0.26253459808901,0.3304007272361303,0.7297229040333177,-1.004341148623621,0.7747041865770022,0.02,0.99,-0.74,0.73,0.15,0.36,0.08,1.17,1.21,0.0,1.73
Rv0019c,-,,,,,,,-6.700439718141092,-3.854219185730439,5.552601366645897,,,,,,,,,2.077489899171606,-1.023022962664529,3.176264407435201,,-0.790631351127085,-2.75863421996768,-2.81137888585465,1.183092631867225,0.7502609404002896,0.7107666647476639,-1.684119788346881,-0.09465255893040521,0.79,1.35,-1.4,-0.16,0.25,0.96,-0.39,-0.08,0.42,-0.69,0.8
Rv0020c,TB39.8,,,,,,,,,,,,,,,,,,1.076949640934824,0.3691971686569621,0.5863596364343009,,-0.443534677911193,-0.44111074926416,-1.6958680726197,-0.809524514175851,-0.8222537984369425,0.5955752126001266,-2.55382219938877,-0.2457897551956572,1.82,0.95,0.56,1.02,0.59,1.11,0.19,0.27,-1.77,-2.84,-1.8
Rv0021c,-,,,,,,,-0.03731025907170993,-4.441268272366918,,,,,,,,,,0.1238986596315672,0.3898648616664382,-0.1857049249508522,,-1.05941497209826,-0.284918074947788,-0.135729924295532,0.06115808456002187,0.03736140004213276,-0.2627336230236644,0.6974834705757601,-0.09535994289163074,0.41,-0.02,-0.7,-0.21,-0.1,0.1,0.43,0.02,0.38,-0.2,0.01
Rv0022c,whiB5,,,,,,,,,,,,,,,,,,-1.861103610107642,-1.082533837592072,1.825494482254018,,-1.18673362477662,0.216535855379902,0.22225814125558,-0.1603888904445279,-0.2633763348253879,-0.08853058526387735,-0.2566612108079159,0.2712952265725236,0.65,-0.14,-0.37,0.28,0.09,0.01,0.56,0.75,1.04,0.28,-0.35
Rv0023,-,,,,,,,,,,,,,,,,,,-3.818033696354695,-2.584713690868704,2.321928094887362,,,,,0.0,0.0,0.0,0.0,0.0,2.34,0.1,0.0,0.0,0.0,0.0,2.49,5.21,-0.59,-1.0,-0.71
Rv0024,-,,,,,,,,,,,,,,,,,,-1.800445899616425,-1.177468495202075,1.448259958660942,,1.0674174236827,0.171236313179946,0.242947647906861,-0.02796568828538461,0.08240071007841279,-0.03740041054309529,-0.0709239106937452,0.2752070017686035,-0.19,0.44,1.97,-0.16,0.13,-0.12,-0.27,0.34,-0.07,-0.04,-1.24
Rv0025,-,,,,,,,,,,,,,,,,,,-0.5379823870785578,0.287651434079392,0.6401796292010715,,-2.93121276616994,0.6759617885911,0.788971911419579,0.0378391143725805,-0.03419881710550531,-0.2240195551626805,-0.3284958189695815,-0.01539013668442019,1.48,0.85,-0.45,-0.08,0.44,0.94,0.76,1.45,1.64,0.72,1.55
