Rv_ID,gene_name,2003A_Sassetti,2003B_Sassetti,2005_Rengarajan,2006_Joshi_GI_1,2006_Joshi_GI_2,2011_Griffin_2,2013_Zhang_1A,2013_Zhang_1B,2013_Zhang_2,2013_Zhang_3A,2013_Zhang_3B,2013_Zhang_3C,2013_Zhang_3D,2016_Korte,2018_Rittershaus_1A,2018_Rittershaus_1B,2012_Zhang,2015_Kieser_GI_1,2015_Kieser_GI_2,2015_Kieser_GI_3,2015_Mendum,2016_Nambi,2017_Mishra_1,2017_Mishra_2,2017_Xu_1A,2017_Xu_1B,2017_Xu_1C,2017_Xu_1D,2017_Xu_1E,2018_Carey_1A,2018_Carey_1B,2018_Carey_1C,2018_Carey_1D,2018_Carey_1E,2018_Carey_1F,2018_Carey_1G,2018_Carey_1H,2017B_DeJesus_1A,2017B_DeJesus_1B,2017B_DeJesus_1C,B6,BXD102,BXD29,BXD39,BXD40,BXD48a,BXD51,BXD54,BXD56,BXD60,BXD62,BXD67,BXD69,BXD73,BXD73b,BXD77,BXD79,BXD9,BXD90,BXD93,DBA
Rv2047c,-,,,,,,,-1.304511041809953,-4.035623909730721,,,,2.596139973285081,,,,,,-0.966427721406368,-0.5265924333004004,0.5438915772187787,,0.399688624977968,-0.212948504356168,0.205723575896512,0.8271855928851939,-0.3536521626497918,-0.1000117319749303,-0.1941626117385154,-0.0793462632525323,-0.98,0.04,0.11,-0.21,-0.35,0.2,0.23,-0.32,-0.35,0.56,-1.68,-1.16,-1.63,-2.05,-1.45,-1.38,-1.26,-1.15,-1.5,-0.89,-0.89,-0.94,-1.71,-1.32,-1.26,-1.19,-0.92,-1.23,-1.36,-1.48,-1.15,-1.77
Rv2048c,pks12,,-1.795859283219775,,,,-2.715723316915575,-0.963474123974886,-3.990954860396993,,,,,,,,,,-0.3637243470267168,0.0467544620290668,-0.166221535850466,,-0.236906625858894,0.846887583760563,1.38681966105614,1.072474335886543,0.0101062601156119,0.2335243588207487,0.1263144602039308,-0.2328478823455557,0.31,0.49,0.25,0.51,-0.24,0.83,0.03,-0.17,-1.69,-0.8,-2.09,-1.11,-1.37,-1.67,-1.49,-1.39,-2.01,-1.2,-1.28,-1.03,-1.69,-1.41,-1.68,-1.61,-1.38,-1.62,-1.51,-2.19,-1.09,-1.62,-1.85,-1.53
Rv2049c,-,,,,,,,,,,,,,,,,,,-7.467942110392114,-6.890708864240648,5.643856189774724,,7.06531871144006,0.0605710667664358,-1.10224728451963,0.0260264732566049,1.064678057639236,-0.2970592207744648,0.3435051734258165,2.850690842251966,-2.78,0.58,2.32,-0.75,0.05,-1.11,0.57,-0.77,-0.64,-1.05,-1.09,-2.33,-3.65,-4.01,-5.66,-2.37,-5.66,-1.2,-2.13,-5.66,-1.54,-5.66,-3.24,-5.66,-5.66,-5.66,-3.05,-5.66,-3.41,-3.66,-5.66,-5.66
Rv2050,-,-2.40027857479551,,,,,,,,,,,,,,,,,-1.237298198353727,-inf,-inf,,,,,0.4854268271702417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,2.22,-0.59,-1.02,-0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2051c,ppm1,,,,,,,-8.83605035505807,-7.011227255423254,,,,,,,-2.774041402,-1.60086364652308,,-1.512670352059364,-0.2543226610225607,-2.374745878348209,,2.252078081676,0.0391874363707336,-0.344972467246385,-2.062684316409724,-1.861063809756075,-1.863725632155274,-1.597615951583746,-0.6346118712778407,1.08,0.47,1.97,1.8,0.76,1.47,-0.3,0.29,-0.89,2.4,-1.6,-0.86,-1.86,-0.88,0.11,-1.36,0.01,-0.32,-0.8,-1.19,-1.17,-1.44,-1.07,-1.89,-0.68,-0.73,-1.67,-1.63,-0.68,-1.17,-1.02,-1.74
Rv2052c,-,,,,,,,,,,,,,,,,,,-1.759730940754553,-0.8658396046873316,1.518621220733066,,1.13967553190842,-0.587516445460419,-0.41251496404986,-0.039485564040686,-0.0262776203300731,0.3029811631491427,-0.050224559466509,0.2689228350456846,0.55,-0.5,-0.14,-0.47,-0.28,0.11,-0.33,-0.74,-0.93,-0.63,-1.06,-0.04,-0.42,-0.53,-0.49,-0.07,-0.14,0.07,-0.58,-0.37,-0.28,-0.19,-0.53,-0.93,-0.65,-0.49,-0.56,-0.86,-0.61,-0.42,-0.18,-0.62
Rv2053c,fxsA,,,,,,,,,,,,,,,,,,-0.8533073534516427,-0.8447382101113602,0.1620315650840543,,1.4769567072613,-1.19833543221933,-0.914724867980561,0.037203209620625,0.3051747997238578,0.2630911612790651,-0.1415517070610496,0.1687306902386472,-0.69,-0.58,0.05,0.45,-0.43,-0.35,0.06,-0.32,0.32,0.84,1.08,0.03,0.16,0.16,0.32,0.24,0.46,0.49,-0.2,0.24,0.04,0.05,0.1,0.2,0.16,-0.55,0.02,-0.02,0.49,0.09,-0.09,0.28
Rv2054,-,,,,,,,,,,,,,,,,,,-0.4773855648419498,-0.4313069198004094,0.0895030379623505,,0.169264633818319,0.325639735073967,0.244817737347908,-0.064691655808654,0.0185796939822606,0.1678152234850546,0.0693496832655315,0.16015613608881,0.23,-0.1,0.36,0.11,-0.11,-0.06,0.34,-0.3,0.54,0.07,1.02,0.09,0.21,0.12,-0.39,0.13,0.03,-0.29,0.18,0.18,0.28,0.11,-0.05,0.09,0.1,0.17,0.03,0.03,0.13,0.22,-0.13,0.2
Rv2055c,rpsR,,,,,,,,,,,,,,,,,,-6.957790675729352,-6.62411418739822,7.199672344836364,,8.24594037286337,-4.15378404721678,-1.79919477690258,-0.4548149905669272,-0.0506972417077689,-0.730966853544763,0.3529319973366186,0.3316214910912066,0.38,1.16,-0.44,0.31,0.54,-0.78,-0.15,1.06,-0.37,-1.18,-0.87,-1.28,-1.79,-0.26,-1.05,-1.3,-2.3,0.27,0.45,0.13,-0.55,1.15,-0.66,-0.75,0.21,0.1,1.3,-0.43,-2.05,-1.25,-1.03,-2.26
Rv2056c,rpsN,,,,,,,,,,,,,,,,,,-1.494537090511835,-1.363631330226282,1.352498131759123,,-0.533339501922945,3.77304855165709,5.28139222468856,-0.1787488518293185,0.3766608275657883,0.2600178463739271,0.0020333971525282,-0.0822309405359143,-1.99,1.0,2.13,2.57,0.21,-0.48,-0.41,0.6,0.49,0.06,-0.75,-0.85,-0.28,-0.74,-0.15,-0.06,-1.1,-1.11,-0.24,-0.51,-0.22,-1.95,-0.51,-0.57,-0.82,-1.3,-0.11,0.19,-0.43,0.0,-1.17,-1.52
