Rv_ID,sanger_level_II
Rv1765c,V - Conserved hypotheticals
Rv1766,V - UNKNOWN FUNCTION
Rv1767,V - UNKNOWN FUNCTION
Rv1770,V - UNKNOWN FUNCTION
Rv1775,V - UNKNOWN FUNCTION
Rv1780,V - UNKNOWN FUNCTION
Rv1782,V - Conserved hypotheticals
Rv1783,V - Conserved hypotheticals
Rv1784,V - Conserved hypotheticals
Rv1793,V - Conserved hypotheticals
Rv1794,V - UNKNOWN FUNCTION
Rv1796,V - Conserved hypotheticals
Rv1797,V - Conserved hypotheticals
Rv1798,V - Conserved hypotheticals
Rv1804c,V - UNKNOWN FUNCTION
Rv1810,V - UNKNOWN FUNCTION
Rv1813c,V - UNKNOWN FUNCTION
Rv1815,V - UNKNOWN FUNCTION
Rv1823,V - UNKNOWN FUNCTION
Rv1827,V - Conserved hypotheticals
Rv1828,V - Conserved hypotheticals
Rv1829,V - UNKNOWN FUNCTION
Rv1830,V - Conserved hypotheticals
Rv1834,V - Conserved hypotheticals
Rv1835c,V - UNKNOWN FUNCTION
Rv1836c,V - UNKNOWN FUNCTION
Rv1838c,V - Conserved hypotheticals
Rv1839c,V - Conserved hypotheticals
Rv1847,V - Conserved hypotheticals
Rv1864c,V - UNKNOWN FUNCTION
Rv1866,V - Conserved hypotheticals
Rv1868,V - Conserved hypotheticals
Rv1875,V - UNKNOWN FUNCTION
Rv1879,V - UNKNOWN FUNCTION
Rv1883c,V - UNKNOWN FUNCTION
Rv1884c,V - Conserved hypotheticals
Rv1889c,V - Conserved hypotheticals
Rv1896c,V - Conserved hypotheticals
Rv1897c,V - Conserved hypotheticals
Rv1904,V - Conserved hypotheticals
Rv1906c,V - UNKNOWN FUNCTION
Rv1930c,V - UNKNOWN FUNCTION
Rv1942c,V - Conserved hypotheticals
Rv1943c,V - Conserved hypotheticals
Rv1949c,V - UNKNOWN FUNCTION
Rv1950c,V - UNKNOWN FUNCTION
Rv1951c,V - UNKNOWN FUNCTION
Rv1952,V - Conserved hypotheticals
Rv1953,V - Conserved hypotheticals
Rv1959c,V - Conserved hypotheticals
Rv1962c,V - Conserved hypotheticals
Rv1972,V - UNKNOWN FUNCTION
Rv1973,V - UNKNOWN FUNCTION
Rv1974,V - UNKNOWN FUNCTION
Rv1982c,V - Conserved hypotheticals
Rv1991c,V - Conserved hypotheticals
Rv1993c,V - UNKNOWN FUNCTION
Rv1996,V - Conserved hypotheticals
Rv1998c,V - Conserved hypotheticals
Rv2001,V - Conserved hypotheticals
Rv2003c,V - UNKNOWN FUNCTION
Rv2005c,V - Conserved hypotheticals
Rv2008c,V - UNKNOWN FUNCTION
Rv2009,V - Conserved hypotheticals
Rv2010,V - Conserved hypotheticals
Rv2015c,V - UNKNOWN FUNCTION
Rv2018,V - UNKNOWN FUNCTION
Rv2022c,V - UNKNOWN FUNCTION
Rv2024c,V - UNKNOWN FUNCTION
Rv2026c,V - Conserved hypotheticals
Rv2028c,V - Conserved hypotheticals
Rv2030c,V - UNKNOWN FUNCTION
Rv2032,V - Conserved hypotheticals
Rv2042c,V - UNKNOWN FUNCTION
Rv2047c,V - Conserved hypotheticals
Rv2050,V - UNKNOWN FUNCTION
Rv2053c,V - Conserved hypotheticals
Rv2059,V - Conserved hypotheticals
Rv2060,V - Conserved hypotheticals
Rv2067c,V - UNKNOWN FUNCTION
Rv2077c,V - UNKNOWN FUNCTION
Rv2082,V - UNKNOWN FUNCTION
Rv2083,V - UNKNOWN FUNCTION
Rv2094c,V - Conserved hypotheticals
Rv2095c,V - Conserved hypotheticals
Rv2096c,V - Conserved hypotheticals
Rv2097c,V - Conserved hypotheticals
Rv2100,V - UNKNOWN FUNCTION
Rv2102,V - UNKNOWN FUNCTION
Rv2103c,V - Conserved hypotheticals
Rv2104c,V - Conserved hypotheticals
Rv2111c,V - Conserved hypotheticals
Rv2112c,V - Conserved hypotheticals
Rv2117,V - UNKNOWN FUNCTION
Rv2118c,V - Conserved hypotheticals
Rv2119,V - Conserved hypotheticals
Rv2125,V - UNKNOWN FUNCTION
Rv2132,V - UNKNOWN FUNCTION
Rv2133c,V - UNKNOWN FUNCTION
Rv2134c,V - UNKNOWN FUNCTION
Rv2135c,V - Conserved hypotheticals
Rv2137c,V - UNKNOWN FUNCTION
Rv2140c,V - Conserved hypotheticals
Rv2143,V - UNKNOWN FUNCTION
Rv2148c,V - UNKNOWN FUNCTION
Rv2149c,V - Conserved hypotheticals
Rv2165c,V - Conserved hypotheticals
Rv2166c,V - UNKNOWN FUNCTION
Rv2182c,V - Conserved hypotheticals
Rv2184c,V - Conserved hypotheticals
Rv2185c,V - Conserved hypotheticals
Rv2186c,V - UNKNOWN FUNCTION
Rv2188c,V - Conserved hypotheticals
Rv2204c,V - UNKNOWN FUNCTION
Rv2205c,V - Conserved hypotheticals
Rv2212,V - Conserved hypotheticals
Rv2216,V - UNKNOWN FUNCTION
Rv2230c,V - UNKNOWN FUNCTION
Rv2237,V - UNKNOWN FUNCTION
Rv2240c,V - UNKNOWN FUNCTION
Rv2248,V - UNKNOWN FUNCTION
Rv2251,V - Conserved hypotheticals
Rv2252,V - UNKNOWN FUNCTION
Rv2256c,V - UNKNOWN FUNCTION
Rv2260,V - UNKNOWN FUNCTION
Rv2264c,V - Conserved hypotheticals
Rv2272,V - UNKNOWN FUNCTION
Rv2285,V - Conserved hypotheticals
Rv2286c,V - Conserved hypotheticals
Rv2295,V - UNKNOWN FUNCTION
Rv2298,V - Conserved hypotheticals
Rv2300c,V - UNKNOWN FUNCTION
Rv2302,V - UNKNOWN FUNCTION
Rv2307c,V - UNKNOWN FUNCTION
Rv2314c,V - UNKNOWN FUNCTION
Rv2315c,V - UNKNOWN FUNCTION
Rv2323c,V - Conserved hypotheticals
Rv2325c,V - Conserved hypotheticals
Rv2327,V - Conserved hypotheticals
Rv2346c,V - Conserved hypotheticals
Rv2347c,V - Conserved hypotheticals
Rv2361c,V - Conserved hypotheticals
Rv2362c,V - Conserved hypotheticals
Rv2365c,V - UNKNOWN FUNCTION
Rv2366c,V - UNKNOWN FUNCTION
Rv2367c,V - UNKNOWN FUNCTION
Rv2370c,V - UNKNOWN FUNCTION
Rv2372c,V - UNKNOWN FUNCTION
Rv2376c,V - Conserved hypotheticals
Rv2387,V - UNKNOWN FUNCTION
Rv2389c,V - Conserved hypotheticals
Rv2390c,V - UNKNOWN FUNCTION
Rv2393,V - Conserved hypotheticals
Rv2402,V - Conserved hypotheticals
Rv2406c,V - UNKNOWN FUNCTION
Rv2407,V - UNKNOWN FUNCTION
Rv2409c,V - Conserved hypotheticals
Rv2410c,V - UNKNOWN FUNCTION
Rv2411c,V - UNKNOWN FUNCTION
Rv2413c,V - Conserved hypotheticals
Rv2414c,V - UNKNOWN FUNCTION
Rv2415c,V - Conserved hypotheticals
Rv2416c,V - Conserved hypotheticals
Rv2417c,V - UNKNOWN FUNCTION
Rv2420c,V - UNKNOWN FUNCTION
Rv2421c,V - Conserved hypotheticals
Rv2425c,V - UNKNOWN FUNCTION
Rv2426c,V - UNKNOWN FUNCTION
Rv2437,V - Conserved hypotheticals
Rv2438c,V - Conserved hypotheticals
Rv2449c,V - UNKNOWN FUNCTION
Rv2450c,V - Conserved hypotheticals
Rv2458,V - Conserved hypotheticals
Rv2466c,V - Conserved hypotheticals
Rv2469c,V - Conserved hypotheticals
Rv2475c,V - UNKNOWN FUNCTION
Rv2484c,V - Conserved hypotheticals
Rv2493,V - Conserved hypotheticals
Rv2494,V - Conserved hypotheticals
Rv2510c,V - UNKNOWN FUNCTION
Rv2511,V - Conserved hypotheticals
Rv2520c,V - UNKNOWN FUNCTION
Rv2522c,V - Conserved hypotheticals
Rv2526,V - Conserved hypotheticals
Rv2527,V - Conserved hypotheticals
Rv2530c,V - Conserved hypotheticals
Rv2542,V - UNKNOWN FUNCTION
Rv2545,V - Conserved hypotheticals
Rv2546,V - Conserved hypotheticals
Rv2547,V - Conserved hypotheticals
Rv2548,V - Conserved hypotheticals
Rv2556c,V - UNKNOWN FUNCTION
Rv2557,V - UNKNOWN FUNCTION
Rv2558,V - UNKNOWN FUNCTION
Rv2559c,V - Conserved hypotheticals
Rv2565,V - Conserved hypotheticals
Rv2567,V - UNKNOWN FUNCTION
Rv2568c,V - UNKNOWN FUNCTION
Rv2569c,V - Conserved hypotheticals
Rv2571c,V - UNKNOWN FUNCTION
Rv2575,V - UNKNOWN FUNCTION
Rv2585c,V - Conserved hypotheticals
Rv2588c,V - Conserved hypotheticals
Rv2595,V - Conserved hypotheticals
Rv2596,V - Conserved hypotheticals
Rv2599,V - Conserved hypotheticals
Rv2600,V - UNKNOWN FUNCTION
Rv2602,V - Conserved hypotheticals
Rv2603c,V - UNKNOWN FUNCTION
Rv2604c,V - Conserved hypotheticals
Rv2606c,V - Conserved hypotheticals
Rv2609c,V - UNKNOWN FUNCTION
Rv2611c,V - Conserved hypotheticals
Rv2613c,V - UNKNOWN FUNCTION
Rv2618,V - Conserved hypotheticals
Rv2620c,V - UNKNOWN FUNCTION
Rv2623,V - Conserved hypotheticals
Rv2624c,V - Conserved hypotheticals
Rv2625c,V - UNKNOWN FUNCTION
Rv2626c,V - Conserved hypotheticals
Rv2627c,V - UNKNOWN FUNCTION
Rv2631,V - UNKNOWN FUNCTION
Rv2632c,V - UNKNOWN FUNCTION
Rv2637,V - Conserved hypotheticals
Rv2638,V - Conserved hypotheticals
Rv2639c,V - UNKNOWN FUNCTION
Rv2641,V - Conserved hypotheticals
Rv2665,V - UNKNOWN FUNCTION
Rv2670c,V - UNKNOWN FUNCTION
Rv2674,V - Conserved hypotheticals
Rv2676c,V - UNKNOWN FUNCTION
Rv2680,V - Conserved hypotheticals
Rv2681,V - Conserved hypotheticals
Rv2683,V - UNKNOWN FUNCTION
Rv2693c,V - UNKNOWN FUNCTION
Rv2694c,V - UNKNOWN FUNCTION
Rv2695,V - UNKNOWN FUNCTION
Rv2696c,V - Conserved hypotheticals
Rv2698,V - UNKNOWN FUNCTION
Rv2699c,V - UNKNOWN FUNCTION
Rv2700,V - UNKNOWN FUNCTION
Rv2704,V - Conserved hypotheticals
Rv2707,V - UNKNOWN FUNCTION
Rv2708c,V - UNKNOWN FUNCTION
Rv2709,V - UNKNOWN FUNCTION
Rv2714,V - UNKNOWN FUNCTION
Rv2716,V - UNKNOWN FUNCTION
Rv2717c,V - UNKNOWN FUNCTION
Rv2718c,V - Conserved hypotheticals
Rv2719c,V - Conserved hypotheticals
Rv2721c,V - Conserved hypotheticals
Rv2728c,V - UNKNOWN FUNCTION
Rv2729c,V - UNKNOWN FUNCTION
Rv2732c,V - UNKNOWN FUNCTION
Rv2733c,V - Conserved hypotheticals
Rv2738c,V - UNKNOWN FUNCTION
Rv2740,V - Conserved hypotheticals
Rv2742c,V - UNKNOWN FUNCTION
Rv2743c,V - UNKNOWN FUNCTION
Rv2744c,V - Conserved hypotheticals
Rv2747,V - Conserved hypotheticals
Rv2749,V - UNKNOWN FUNCTION
Rv2751,V - Conserved hypotheticals
Rv2752c,V - UNKNOWN FUNCTION
Rv2754c,V - Conserved hypotheticals
Rv2757c,V - Conserved hypotheticals
Rv2758c,V - Conserved hypotheticals
Rv2759c,V - Conserved hypotheticals
Rv2760c,V - Conserved hypotheticals
Rv2778c,V - UNKNOWN FUNCTION
Rv2787,V - Conserved hypotheticals
Rv2794c,V - Conserved hypotheticals
Rv2797c,V - UNKNOWN FUNCTION
Rv2798c,V - UNKNOWN FUNCTION
Rv2800,V - UNKNOWN FUNCTION
Rv2801c,V - Conserved hypotheticals
Rv2805,V - UNKNOWN FUNCTION
Rv2807,V - UNKNOWN FUNCTION
Rv2811,V - UNKNOWN FUNCTION
Rv2816c,V - Conserved hypotheticals
Rv2817c,V - Conserved hypotheticals
Rv2821c,V - Conserved hypotheticals
Rv2823c,V - UNKNOWN FUNCTION
Rv2825c,V - UNKNOWN FUNCTION
Rv2828c,V - UNKNOWN FUNCTION
Rv2829c,V - Conserved hypotheticals
Rv2837c,V - UNKNOWN FUNCTION
Rv2840c,V - Conserved hypotheticals
Rv2842c,V - UNKNOWN FUNCTION
Rv2851c,V - UNKNOWN FUNCTION
Rv2852c,V - Conserved hypotheticals
Rv2859c,V - UNKNOWN FUNCTION
Rv2862c,V - UNKNOWN FUNCTION
Rv2863,V - Conserved hypotheticals
Rv2865,V - Conserved hypotheticals
Rv2866,V - Conserved hypotheticals
Rv2868c,V - Conserved hypotheticals
Rv2870c,V - Conserved hypotheticals
Rv2871,V - Conserved hypotheticals
Rv2872,V - Conserved hypotheticals
Rv2879c,V - UNKNOWN FUNCTION
Rv2880c,V - UNKNOWN FUNCTION
Rv2896c,V - Conserved hypotheticals
Rv2897c,V - Conserved hypotheticals
Rv2898c,V - Conserved hypotheticals
Rv2908c,V - UNKNOWN FUNCTION
Rv2910c,V - UNKNOWN FUNCTION
Rv2915c,V - Conserved hypotheticals
Rv2917,V - Conserved hypotheticals
Rv2923c,V - Conserved hypotheticals
Rv2927c,V - Conserved hypotheticals
Rv2953,V - Conserved hypotheticals
Rv2955c,V - UNKNOWN FUNCTION
Rv2956,V - UNKNOWN FUNCTION
Rv2961,V - Conserved hypotheticals
Rv2966c,V - Conserved hypotheticals
Rv2974c,V - UNKNOWN FUNCTION
Rv2975c,V - UNKNOWN FUNCTION
Rv2983,V - UNKNOWN FUNCTION
Rv2991,V - Conserved hypotheticals
Rv2993c,V - Conserved hypotheticals
Rv3000,V - UNKNOWN FUNCTION
Rv3005c,V - UNKNOWN FUNCTION
Rv3013,V - Conserved hypotheticals
Rv3015c,V - UNKNOWN FUNCTION
Rv3017c,V - Conserved hypotheticals
Rv3024c,V - Conserved hypotheticals
Rv3030,V - UNKNOWN FUNCTION
Rv3031,V - UNKNOWN FUNCTION
Rv3032,V - Conserved hypotheticals
Rv3034c,V - UNKNOWN FUNCTION
Rv3046c,V - UNKNOWN FUNCTION
Rv3054c,V - UNKNOWN FUNCTION
Rv3064c,V - UNKNOWN FUNCTION
Rv3067,V - Conserved hypotheticals
Rv3073c,V - UNKNOWN FUNCTION
Rv3074,V - Conserved hypotheticals
Rv3075c,V - Conserved hypotheticals
Rv3076,V - UNKNOWN FUNCTION
Rv3087,V - Conserved hypotheticals
Rv3088,V - Conserved hypotheticals
Rv3094c,V - Conserved hypotheticals
Rv3104c,V - Conserved hypotheticals
Rv3127,V - UNKNOWN FUNCTION
Rv3129,V - UNKNOWN FUNCTION
Rv3130c,V - Conserved hypotheticals
Rv3131,V - UNKNOWN FUNCTION
Rv3134c,V - Conserved hypotheticals
Rv3166c,V - UNKNOWN FUNCTION
Rv3168,V - Conserved hypotheticals
Rv3169,V - UNKNOWN FUNCTION
Rv3178,V - UNKNOWN FUNCTION
Rv3179,V - UNKNOWN FUNCTION
Rv3181c,V - Conserved hypotheticals
Rv3182,V - UNKNOWN FUNCTION
Rv3188,V - UNKNOWN FUNCTION
Rv3189,V - UNKNOWN FUNCTION
Rv3194c,V - Conserved hypotheticals
Rv3195,V - UNKNOWN FUNCTION
Rv3199c,V - Conserved hypotheticals
Rv3209,V - UNKNOWN FUNCTION
Rv3218,V - UNKNOWN FUNCTION
Rv3222c,V - UNKNOWN FUNCTION
Rv3226c,V - UNKNOWN FUNCTION
Rv3228,V - UNKNOWN FUNCTION
Rv3233c,V - Conserved hypotheticals
Rv3234c,V - Conserved hypotheticals
Rv3242c,V - UNKNOWN FUNCTION
Rv3261,V - Conserved hypotheticals
Rv3262,V - Conserved hypotheticals
Rv3267,V - Conserved hypotheticals
Rv3272,V - Conserved hypotheticals
Rv3277,V - UNKNOWN FUNCTION
Rv3278c,V - UNKNOWN FUNCTION
Rv3281,V - Conserved hypotheticals
Rv3282,V - Conserved hypotheticals
Rv3284,V - UNKNOWN FUNCTION
Rv3288c,V - Conserved hypotheticals
Rv3292,V - UNKNOWN FUNCTION
Rv3304,V - UNKNOWN FUNCTION
Rv3311,V - UNKNOWN FUNCTION
Rv3312c,V - UNKNOWN FUNCTION
Rv3320c,V - Conserved hypotheticals
Rv3321c,V - Conserved hypotheticals
Rv3335c,V - UNKNOWN FUNCTION
Rv3337,V - UNKNOWN FUNCTION
Rv3338,V - UNKNOWN FUNCTION
Rv3342,V - Conserved hypotheticals
Rv3346c,V - UNKNOWN FUNCTION
Rv3351c,V - Conserved hypotheticals
Rv3353c,V - UNKNOWN FUNCTION
Rv3354,V - UNKNOWN FUNCTION
Rv3355c,V - UNKNOWN FUNCTION
Rv3357,V - Conserved hypotheticals
Rv3361c,V - UNKNOWN FUNCTION
Rv3365c,V - Conserved hypotheticals
Rv3368c,V - Conserved hypotheticals
Rv3369,V - Conserved hypotheticals
Rv3371,V - Conserved hypotheticals
Rv3376,V - UNKNOWN FUNCTION
Rv3384c,V - Conserved hypotheticals
Rv3385c,V - Conserved hypotheticals
Rv3399,V - Conserved hypotheticals
Rv3401,V - Conserved hypotheticals
Rv3407,V - Conserved hypotheticals
Rv3408,V - Conserved hypotheticals
Rv3412,V - UNKNOWN FUNCTION
Rv3415c,V - UNKNOWN FUNCTION
Rv3421c,V - Conserved hypotheticals
Rv3422c,V - UNKNOWN FUNCTION
Rv3433c,V - UNKNOWN FUNCTION
Rv3434c,V - UNKNOWN FUNCTION
Rv3435c,V - UNKNOWN FUNCTION
Rv3438,V - UNKNOWN FUNCTION
Rv3439c,V - UNKNOWN FUNCTION
Rv3444c,V - Conserved hypotheticals
Rv3471c,V - Conserved hypotheticals
Rv3480c,V - Conserved hypotheticals
Rv3483c,V - UNKNOWN FUNCTION
Rv3484,V - Conserved hypotheticals
Rv3486,V - UNKNOWN FUNCTION
Rv3488,V - Conserved hypotheticals
Rv3492c,V - UNKNOWN FUNCTION
Rv3510c,V - UNKNOWN FUNCTION
Rv3517,V - Conserved hypotheticals
Rv3521,V - UNKNOWN FUNCTION
Rv3529c,V - UNKNOWN FUNCTION
Rv3547,V - Conserved hypotheticals
Rv3555c,V - UNKNOWN FUNCTION
Rv3567c,V - Conserved hypotheticals
Rv3576,V - Conserved hypotheticals
Rv3581c,V - Conserved hypotheticals
Rv3582c,V - Conserved hypotheticals
Rv3586,V - UNKNOWN FUNCTION
Rv3591c,V - UNKNOWN FUNCTION
Rv3592,V - Conserved hypotheticals
Rv3597c,V - Conserved hypotheticals
Rv3600c,V - Conserved hypotheticals
Rv3614c,V - Conserved hypotheticals
Rv3615c,V - Conserved hypotheticals
Rv3616c,V - Conserved hypotheticals
Rv3619c,V - Conserved hypotheticals
Rv3620c,V - Conserved hypotheticals
Rv3633,V - Conserved hypotheticals
Rv3639c,V - UNKNOWN FUNCTION
Rv3672c,V - UNKNOWN FUNCTION
Rv3683,V - UNKNOWN FUNCTION
Rv3686c,V - UNKNOWN FUNCTION
Rv3687c,V - Conserved hypotheticals
Rv3688c,V - UNKNOWN FUNCTION
Rv3693,V - UNKNOWN FUNCTION
Rv3694c,V - UNKNOWN FUNCTION
Rv3695,V - UNKNOWN FUNCTION
Rv3697c,V - Conserved hypotheticals
Rv3701c,V - UNKNOWN FUNCTION
Rv3702c,V - UNKNOWN FUNCTION
Rv3703c,V - UNKNOWN FUNCTION
Rv3707c,V - UNKNOWN FUNCTION
Rv3712,V - Conserved hypotheticals
Rv3714c,V - UNKNOWN FUNCTION
Rv3716c,V - UNKNOWN FUNCTION
Rv3719,V - Conserved hypotheticals
Rv3730c,V - Conserved hypotheticals
Rv3732,V - UNKNOWN FUNCTION
Rv3734c,V - Conserved hypotheticals
Rv3735,V - UNKNOWN FUNCTION
Rv3740c,V - Conserved hypotheticals
Rv3745c,V - UNKNOWN FUNCTION
Rv3747,V - UNKNOWN FUNCTION
Rv3748,V - UNKNOWN FUNCTION
Rv3760,V - UNKNOWN FUNCTION
Rv3767c,V - Conserved hypotheticals
Rv3769,V - Conserved hypotheticals
Rv3771c,V - UNKNOWN FUNCTION
Rv3773c,V - UNKNOWN FUNCTION
Rv3776,V - UNKNOWN FUNCTION
Rv3778c,V - Conserved hypotheticals
Rv3787c,V - Conserved hypotheticals
Rv3789,V - UNKNOWN FUNCTION
Rv3813c,V - UNKNOWN FUNCTION
Rv3821,V - UNKNOWN FUNCTION
Rv3822,V - UNKNOWN FUNCTION
Rv3856c,V - UNKNOWN FUNCTION
Rv3860,V - UNKNOWN FUNCTION
Rv3864,V - Conserved hypotheticals
Rv3865,V - Conserved hypotheticals
Rv3866,V - Conserved hypotheticals
Rv3867,V - Conserved hypotheticals
Rv3868,V - Conserved hypotheticals
Rv3869,V - Conserved hypotheticals
Rv3870,V - Conserved hypotheticals
Rv3871,V - Conserved hypotheticals
Rv3874,V - Conserved hypotheticals
Rv3876,V - Conserved hypotheticals
Rv3877,V - Conserved hypotheticals
Rv3880c,V - Conserved hypotheticals
Rv3881c,V - Conserved hypotheticals
Rv3882c,V - Conserved hypotheticals
Rv3884c,V - Conserved hypotheticals
Rv3888c,V - Conserved hypotheticals
Rv3895c,V - Conserved hypotheticals
Rv3897c,V - UNKNOWN FUNCTION
Rv3898c,V - UNKNOWN FUNCTION
Rv3899c,V - UNKNOWN FUNCTION
Rv3900c,V - UNKNOWN FUNCTION
Rv3906c,V - UNKNOWN FUNCTION
Rv3908,V - Conserved hypotheticals
Rv3909,V - UNKNOWN FUNCTION
Rv3916c,V - UNKNOWN FUNCTION
Rv3920c,V - UNKNOWN FUNCTION
Rv0008c,VI - UNKNOWN FUNCTION
Rv0010c,VI - UNKNOWN FUNCTION
Rv0011c,VI - UNKNOWN FUNCTION
Rv0028,VI - UNKNOWN FUNCTION
Rv0030,VI - UNKNOWN FUNCTION
Rv0034,VI - UNKNOWN FUNCTION
Rv0048c,VI - UNKNOWN FUNCTION
Rv0049,VI - UNKNOWN FUNCTION
Rv0057,VI - UNKNOWN FUNCTION
Rv0059,VI - UNKNOWN FUNCTION
Rv0060,VI - UNKNOWN FUNCTION
Rv0061,VI - Unknowns
Rv0079,VI - Unknowns
Rv0080,VI - UNKNOWN FUNCTION
Rv0088,VI - Unknowns
Rv0090,VI - Unknowns
Rv0093c,VI - UNKNOWN FUNCTION
Rv0098,VI - Unknowns
Rv0100,VI - Unknowns
Rv0104,VI - Unknowns
Rv0108c,VI - UNKNOWN FUNCTION
Rv0121c,VI - UNKNOWN FUNCTION
Rv0122,VI - UNKNOWN FUNCTION
Rv0123,VI - UNKNOWN FUNCTION
Rv0128,VI - UNKNOWN FUNCTION
Rv0141c,VI - UNKNOWN FUNCTION
Rv0142,VI - Unknowns
Rv0193c,VI - UNKNOWN FUNCTION
Rv0203,VI - UNKNOWN FUNCTION
Rv0209,VI - UNKNOWN FUNCTION
Rv0210,VI - UNKNOWN FUNCTION
Rv0219,VI - UNKNOWN FUNCTION
Rv0240,VI - Unknowns
Rv0241c,VI - Unknowns
Rv0250c,VI - UNKNOWN FUNCTION
Rv0268c,VI - Unknowns
Rv0272c,VI - UNKNOWN FUNCTION
Rv0274,VI - Unknowns
Rv0295c,VI - UNKNOWN FUNCTION
Rv0298,VI - UNKNOWN FUNCTION
Rv0299,VI - Unknowns
Rv0300,VI - Unknowns
Rv0307c,VI - UNKNOWN FUNCTION
Rv0309,VI - UNKNOWN FUNCTION
Rv0311,VI - UNKNOWN FUNCTION
Rv0313,VI - UNKNOWN FUNCTION
Rv0325,VI - UNKNOWN FUNCTION
Rv0326,VI - UNKNOWN FUNCTION
Rv0330c,VI - Unknowns
Rv0332,VI - UNKNOWN FUNCTION
Rv0333,VI - UNKNOWN FUNCTION
Rv0340,VI - UNKNOWN FUNCTION
Rv0349,VI - UNKNOWN FUNCTION
Rv0356c,VI - Unknowns
Rv0358,VI - UNKNOWN FUNCTION
Rv0360c,VI - UNKNOWN FUNCTION
Rv0367c,VI - UNKNOWN FUNCTION
Rv0381c,VI - UNKNOWN FUNCTION
Rv0390,VI - Unknowns
Rv0394c,VI - UNKNOWN FUNCTION
Rv0395,VI - UNKNOWN FUNCTION
Rv0396,VI - UNKNOWN FUNCTION
Rv0398c,VI - UNKNOWN FUNCTION
Rv0420c,VI - UNKNOWN FUNCTION
Rv0421c,VI - UNKNOWN FUNCTION
Rv0424c,VI - UNKNOWN FUNCTION
Rv0426c,VI - UNKNOWN FUNCTION
Rv0428c,VI - UNKNOWN FUNCTION
Rv0430,VI - UNKNOWN FUNCTION
Rv0443,VI - UNKNOWN FUNCTION
Rv0455c,VI - UNKNOWN FUNCTION
Rv0471c,VI - UNKNOWN FUNCTION
Rv0481c,VI - UNKNOWN FUNCTION
Rv0499,VI - Unknowns
Rv0508,VI - Unknowns
Rv0518,VI - Unknowns
Rv0550c,VI - Unknowns
Rv0572c,VI - UNKNOWN FUNCTION
Rv0580c,VI - UNKNOWN FUNCTION
Rv0582,VI - Unknowns
Rv0584,VI - Unknowns
Rv0603,VI - UNKNOWN FUNCTION
Rv0607,VI - UNKNOWN FUNCTION
Rv0611c,VI - UNKNOWN FUNCTION
Rv0612,VI - UNKNOWN FUNCTION
Rv0613c,VI - Unknowns
Rv0616c,VI - UNKNOWN FUNCTION
Rv0633c,VI - UNKNOWN FUNCTION
Rv0636,VI - Unknowns
Rv0662c,VI - Unknowns
Rv0664,VI - Unknowns
Rv0666,VI - UNKNOWN FUNCTION
Rv0674,VI - Unknowns
Rv0678,VI - UNKNOWN FUNCTION
Rv0689c,VI - UNKNOWN FUNCTION
Rv0690c,VI - UNKNOWN FUNCTION
Rv0692,VI - UNKNOWN FUNCTION
Rv0699,VI - UNKNOWN FUNCTION
Rv0736,VI - Unknowns
Rv0743c,VI - UNKNOWN FUNCTION
Rv0756c,VI - Unknowns
Rv0762c,VI - UNKNOWN FUNCTION
Rv0767c,VI - UNKNOWN FUNCTION
Rv0787,VI - Unknowns
Rv0789c,VI - UNKNOWN FUNCTION
Rv0790c,VI - Unknowns
Rv0801,VI - UNKNOWN FUNCTION
Rv0810c,VI - UNKNOWN FUNCTION
Rv0836c,VI - UNKNOWN FUNCTION
Rv0837c,VI - UNKNOWN FUNCTION
Rv0879c,VI - UNKNOWN FUNCTION
Rv0887c,VI - UNKNOWN FUNCTION
Rv0898c,VI - UNKNOWN FUNCTION
Rv0900,VI - UNKNOWN FUNCTION
Rv0909,VI - UNKNOWN FUNCTION
Rv0923c,VI - UNKNOWN FUNCTION
Rv0925c,VI - UNKNOWN FUNCTION
Rv0941c,VI - UNKNOWN FUNCTION
Rv0942,VI - UNKNOWN FUNCTION
Rv0948c,VI - Unknowns
Rv0959,VI - UNKNOWN FUNCTION
Rv0961,VI - UNKNOWN FUNCTION
Rv0962c,VI - Unknowns
Rv0964c,VI - UNKNOWN FUNCTION
Rv0970,VI - UNKNOWN FUNCTION
Rv0976c,VI - UNKNOWN FUNCTION
Rv0979c,VI - UNKNOWN FUNCTION
Rv0990c,VI - UNKNOWN FUNCTION
Rv0991c,VI - UNKNOWN FUNCTION
Rv0996,VI - UNKNOWN FUNCTION
Rv0997,VI - UNKNOWN FUNCTION
Rv0998,VI - UNKNOWN FUNCTION
Rv0999,VI - UNKNOWN FUNCTION
Rv1006,VI - UNKNOWN FUNCTION
Rv1012,VI - UNKNOWN FUNCTION
Rv1024,VI - Unknowns
Rv1025,VI - UNKNOWN FUNCTION
Rv1043c,VI - Unknowns
Rv1045,VI - UNKNOWN FUNCTION
Rv1046c,VI - UNKNOWN FUNCTION
Rv1048c,VI - UNKNOWN FUNCTION
Rv1052,VI - UNKNOWN FUNCTION
Rv1053c,VI - UNKNOWN FUNCTION
Rv1060,VI - UNKNOWN FUNCTION
Rv1081c,VI - UNKNOWN FUNCTION
Rv1103c,VI - Unknowns
Rv1109c,VI - UNKNOWN FUNCTION
Rv1111c,VI - UNKNOWN FUNCTION
Rv1113,VI - Unknowns
Rv1115,VI - Unknowns
Rv1116,VI - UNKNOWN FUNCTION
