Rv_ID,sanger_level_II
Rv2528c,II.A - Synthesis and modification of macromolecules
Rv2533c,II.A - Synthesis and modification of macromolecules
Rv2534c,II.A - Synthesis and modification of macromolecules
Rv2555c,II.A - Synthesis and modification of macromolecules
Rv2572c,II.A - Synthesis and modification of macromolecules
Rv2580c,II.A - Synthesis and modification of macromolecules
Rv2582,II.A - Synthesis and modification of macromolecules
Rv2592c,II.A - Synthesis and modification of macromolecules
Rv2593c,II.A - Synthesis and modification of macromolecules
Rv2594c,II.A - Synthesis and modification of macromolecules
Rv2614c,II.A - Synthesis and modification of macromolecules
Rv2703,II.A - Synthesis and modification of macromolecules
Rv2710,II.A - Synthesis and modification of macromolecules
Rv2736c,II.A - Synthesis and modification of macromolecules
Rv2737c,II.A - Synthesis and modification of macromolecules
Rv2755c,II.A - Synthesis and modification of macromolecules
Rv2756c,II.A - Synthesis and modification of macromolecules
Rv2783c,II.A - Synthesis and modification of macromolecules
Rv2785c,II.A - Synthesis and modification of macromolecules
Rv2793c,II.A - Synthesis and modification of macromolecules
Rv2836c,II.A - Synthesis and modification of macromolecules
Rv2838c,II.A - Synthesis and modification of macromolecules
Rv2839c,II.A - Synthesis and modification of macromolecules
Rv2841c,II.A - Synthesis and modification of macromolecules
Rv2845c,II.A - Synthesis and modification of macromolecules
Rv2882c,II.A - Synthesis and modification of macromolecules
Rv2889c,II.A - Synthesis and modification of macromolecules
Rv2890c,II.A - Synthesis and modification of macromolecules
Rv2904c,II.A - Synthesis and modification of macromolecules
Rv2906c,II.A - Synthesis and modification of macromolecules
Rv2907c,II.A - Synthesis and modification of macromolecules
Rv2909c,II.A - Synthesis and modification of macromolecules
Rv2924c,II.A - Synthesis and modification of macromolecules
Rv2973c,II.A - Synthesis and modification of macromolecules
Rv2976c,II.A - Synthesis and modification of macromolecules
Rv2985,II.A - Synthesis and modification of macromolecules
Rv2986c,II.A - Synthesis and modification of macromolecules
Rv2992c,II.A - Synthesis and modification of macromolecules
Rv3009c,II.A - Synthesis and modification of macromolecules
Rv3011c,II.A - Synthesis and modification of macromolecules
Rv3012c,II.A - Synthesis and modification of macromolecules
Rv3014c,II.A - Synthesis and modification of macromolecules
Rv3056,II.A - Synthesis and modification of macromolecules
Rv3062,II.A - Synthesis and modification of macromolecules
Rv3105c,II.A - Synthesis and modification of macromolecules
Rv3198c,II.A - Synthesis and modification of macromolecules
Rv3201c,II.A - Synthesis and modification of macromolecules
Rv3202c,II.A - Synthesis and modification of macromolecules
Rv3211,II.A - Synthesis and modification of macromolecules
Rv3223c,II.A - Synthesis and modification of macromolecules
Rv3232c,II.A - Synthesis and modification of macromolecules
Rv3241c,II.A - Synthesis and modification of macromolecules
Rv3263,II.A - Synthesis and modification of macromolecules
Rv3286c,II.A - Synthesis and modification of macromolecules
Rv3287c,II.A - Synthesis and modification of macromolecules
Rv3296,II.A - Synthesis and modification of macromolecules
Rv3297,II.A - Synthesis and modification of macromolecules
Rv3328c,II.A - Synthesis and modification of macromolecules
Rv3336c,II.A - Synthesis and modification of macromolecules
Rv3366,II.A - Synthesis and modification of macromolecules
Rv3370c,II.A - Synthesis and modification of macromolecules
Rv3414c,II.A - Synthesis and modification of macromolecules
Rv3420c,II.A - Synthesis and modification of macromolecules
Rv3442c,II.A - Synthesis and modification of macromolecules
Rv3443c,II.A - Synthesis and modification of macromolecules
Rv3455c,II.A - Synthesis and modification of macromolecules
Rv3456c,II.A - Synthesis and modification of macromolecules
Rv3457c,II.A - Synthesis and modification of macromolecules
Rv3458c,II.A - Synthesis and modification of macromolecules
Rv3459c,II.A - Synthesis and modification of macromolecules
Rv3460c,II.A - Synthesis and modification of macromolecules
Rv3461c,II.A - Synthesis and modification of macromolecules
Rv3462c,II.A - Synthesis and modification of macromolecules
Rv3580c,II.A - Synthesis and modification of macromolecules
Rv3585,II.A - Synthesis and modification of macromolecules
Rv3589,II.A - Synthesis and modification of macromolecules
Rv3598c,II.A - Synthesis and modification of macromolecules
Rv3644c,II.A - Synthesis and modification of macromolecules
Rv3646c,II.A - Synthesis and modification of macromolecules
Rv3649,II.A - Synthesis and modification of macromolecules
Rv3674c,II.A - Synthesis and modification of macromolecules
Rv3711c,II.A - Synthesis and modification of macromolecules
Rv3715c,II.A - Synthesis and modification of macromolecules
Rv3721c,II.A - Synthesis and modification of macromolecules
Rv3731,II.A - Synthesis and modification of macromolecules
Rv3834c,II.A - Synthesis and modification of macromolecules
Rv3852,II.A - Synthesis and modification of macromolecules
Rv3907c,II.A - Synthesis and modification of macromolecules
Rv3911,II.A - Synthesis and modification of macromolecules
Rv3924c,II.A - Synthesis and modification of macromolecules
Rv0004,V - UNKNOWN FUNCTION
Rv0007,V - UNKNOWN FUNCTION
Rv0019c,V - Conserved hypotheticals
Rv0020c,V - Conserved hypotheticals
Rv0021c,V - UNKNOWN FUNCTION
Rv0022c,V - Conserved hypotheticals
Rv0025,V - UNKNOWN FUNCTION
Rv0026,V - UNKNOWN FUNCTION
Rv0027,V - UNKNOWN FUNCTION
Rv0029,V - UNKNOWN FUNCTION
Rv0031,V - Conserved hypotheticals
Rv0036c,V - UNKNOWN FUNCTION
Rv0038,V - Conserved hypotheticals
Rv0039c,V - UNKNOWN FUNCTION
Rv0040c,V - Conserved hypotheticals
