Rv_ID,PE35_KO_vs_mbio_H37Rv,PPE68_KO_vs_mbio_H37Rv,Rv0950c_KO_vs_CB_WT,Rv0954_KO_vs_RJ_WT,Rv1096_KO_vs_CB_WT,Rv3005c_KO_day32_vs_dejesus_H37Rv_day32,Rv3594_KO_vs_Rubin_FLUTE_WT,Rv3684_KO_vs_CB_WT,Rv3717_KO_vs_Rubin_FLUTE_WT,Rv3811_KO_vs_Rubin_FLUTE_WT,bellerose_MB_HRZE_wk1_vs_bellerose_MB_d21_untreated,bellerose_MB_HRZE_wk1_vs_bellerose_MB_pretreatment,bellerose_MB_d21_untreated_vs_bellerose_MB_pretreatment,carey_621_vs_mbio_H37Rv,carey_630_vs_mbio_H37Rv,carey_631_vs_mbio_H37Rv,carey_632_vs_mbio_H37Rv,carey_641_vs_mbio_H37Rv,carey_662_vs_mbio_H37Rv,carey_663_vs_mbio_H37Rv,carey_667_vs_mbio_H37Rv,dejesus_H37Rv_day32_vs_dejesus_H37Rv_day0,dejesus_Rv0307c_day32_vs_dejesus_Rv0307c_day0,dejesus_Rv1432_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1432_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1432_day32_vs_dejesus_Rv1432_day0,dejesus_Rv1565c_day0_vs_dejesus_H37Rv_day0,dejesus_Rv1565c_day32_vs_dejesus_H37Rv_day32,dejesus_Rv1565c_day32_vs_dejesus_Rv1565c_day0,dejesus_Rv2680_day0_vs_dejesus_H37Rv_day0,dejesus_Rv2680_day32_vs_dejesus_H37Rv_day32,dejesus_Rv2680_day32_vs_dejesus_Rv2680_day0,dejesus_Rv3916c_day32_vs_dejesus_Rv3916c_day0,eccD1_KO_vs_mbio_H37Rv,espI_KO_vs_mbio_H37Rv,griffin_cholesterol_vs_griffin_glycerol,griffin_glycerol_vs_mbio_H37Rv,kieser_dPonA1_vs_mbio_H37Rv,korte_2016_otsa_trehalose_vs_korte_2016_otsa_7h9,marP_KO_vs_marP_WT,minato_minimal_plate_vs_minato_rich_plate,mishra_C3H_vs_mishra_B6,mishra_NOS2_vs_mishra_B6,mishra_NOS2_vs_mishra_C3H,nambi_2015_ctpC_vs_nambi_2015_wt,ritterhaus_hypoxia_H3_vs_ritterhaus_hypoxia_input,ritterhaus_hypoxia_H6_vs_ritterhaus_hypoxia_input,xu_emb_2.5_vs_xu_emb_0,xu_emb_3_vs_xu_emb_0,xu_inh_025_vs_xu_inh_0,xu_inh_02_vs_xu_inh_0,xu_mero_2.5_vs_xu_mero_0,xu_rif_4_vs_xu_rif_0,xu_van_16_vs_xu_van_0,zhang_AA_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_DETA-NO_pH_7.0_vs_zhang_pH_7.0_no_NO_control,zhang_Fe_1.5mM_vs_zhang_Fe_450uM,zhang_Trp_Rescue_vs_zhang_in_vitro_control_Rescue,zhang_Tyloxapol_pH_6.5_vs_zhang_Tyloxapol_pH_4.5,zhang_Tyloxapol_pH_6.5_vs_zhang_pcit_pH_4.5,zhang_mhcii_mouse_d10_vs_zhang_wt_mouse_d10,zhang_mhcii_mouse_d45_vs_zhang_wt_mouse_d45,zhang_wt_mouse_d10_vs_zhang_input_library,zhang_wt_mouse_d45_vs_zhang_input_library
Rv2395B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75429,,,1,1,1,1,1,1,1,,,,,,,,,,
Rv2396,1,1,1,1,1,0.2793,1,1,1,1,1,1,1,0.69121,0.89369,0.94497,0.98904,1,0.96516,0.86962,0.98959,0.8107,1,0.98114,0.51017,1,0.98837,0.60285,1,1,0.27095,1,1,1,1,1,0.77815,1,1,1,0.98704,1,1,1,0.97527,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rv2397c,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0.0095,0,0,0,0,0.2396,0,0.6466,1,0.85115,1,1,0.85557,1,1,0.84555,1,1,1,1,1,1,0.37329,0.6612,1,0.06452,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0.91786,1,1,1,0.07304
Rv2398c,1,1,1,1,1,1,1,1,1,1,1,1,1,0.03443,0.61282,0.0038,0.2325,0,0.12999,0.95569,0.53259,1,1,0.54141,0.86179,1,0.7322,0.83519,1,0.99871,0.87437,0.23265,1,1,1,1,0.75204,1,1,0.00197,0.00717,1,1,1,1,1,0.9655,1,1,1,1,1,1,1,1,1,0.50714,1,1,0.70398,1,1,1,1
Rv2399c,0.04433,0.399,1,1,1,1,1,1,1,1,1,1,1,0.05125,0.08032,0,0,0,0,0.92953,0,0.95292,1,0.53285,1,0.76532,1,1,1,1,1,1,1,1,1,1,0.37836,1,1,0.00197,0.04767,1,1,1,1,1,1,1,0.34151,0.60693,0.97923,1,1,1,1,1,1,1,1,1,1,1,1,1
Rv2400c,0,0,1,0.61423,1,1,1,1,0.7106,1,1,1,1,0,0.17634,0,0,0,0,1,0,1,1,1,1,1,0.72707,0.27635,1,1,1,1,1,1,1,1,0.21342,1,1,0,0,1,1,1,1,1,1,1,0.0407,0.01625,0,0.01223,0,0.00621,1,1,0.17348,1,1,1,1,1,0,0.02494
Rv2401,1,1,1,1,1,0.81285,1,1,1,1,1,1,1,0.21526,0.99845,0.95753,0.96848,0.48905,0.17396,0.11885,0.97065,1,1,0.58333,0.63788,1,0.77254,0.74361,1,0.71375,0.97817,1,1,1,1,1,1,0.76088,1,1,1,1,1,1,0.95095,1,0.72235,1,1,1,1,1,1,1,1,1,0.91975,1,1,0.86712,1,1,0.5342,1
Rv2401A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rv2402,1,1,1,1,1,0.77031,1,1,1,1,1,1,1,0.74597,0.9988,1,0.133,1,0.99378,0.73023,1,1,1,0.77062,1,1,0.85557,0.61605,1,0.2678,0.68473,1,1,1,1,1,0.04314,1,1,1,0.73125,1,1,1,0.97527,1,1,1,1,1,1,1,1,1,1,1,0.8049,1,1,0.91628,1,1,1,0.5901
Rv2403c,1,1,1,1,1,0.65678,1,1,1,1,1,1,1,0.76943,0.99051,1,0.97849,1,1,0.89694,1,0.97942,1,1,0.76123,1,0.47631,0.42917,1,0.42186,0.97665,1,0.76456,1,1,1,0.98071,1,1,1,1,1,1,1,0.91607,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.59594,1,1,1,1
