Rv_ID,NN_1,NN_2,NN_3,NN_4,NN_5,NN_6,NN_7,NN_8,NN_9,NN_10
Rv0725c,Rv0295c,Rv1029,Rv0297,Rv1497,Rv3088,Rv2952,Rv1173,Rv0533c,Rv1129c,Rv3153
Rv0726c,Rv0899,Rv3617,Rv0516c,Rv0447c,Rv2590,Rv0159c,Rv0676c,Rv3824c,Rv0598c,Rv1747
Rv0727c,Rv2211c,Rv2593c,Rv2068c,Rv0813c,Rv2783c,Rv1433,Rv3330,Rv1992c,Rv3879c,Rv1013
Rv0728c,Rv2388c,Rv0334,Rv1288,Rv1433,Rv3379c,Rv1077,Rv0813c,Rv2801A,Rv0853c,Rv2497c
Rv0729,Rv2948c,Rv2459,Rv1079,Rv1992c,Rv3117,Rv3330,Rv0609,Rv2783c,Rv0483,Rv2881c
Rv0730,Rv2596,Rv3589,Rv3272,Rv2530c,Rv0418,Rv2702,Rv1121,Rv3754,Rv3911,Rv0933
Rv0731c,Rv1030,Rv0630c,Rv3010c,Rv2284,Rv1256c,Rv2245,Rv3370c,Rv0573c,Rv1168c,Rv1082
Rv0732,Rv3214,Rv2179c,Rv3809c,Rv1849,Rv1284,Rv1712,Rv3087,Rv0321,Rv0050,Rv1897c
Rv0733,Rv3032,Rv0824c,Rv3914,Rv3465,Rv3443c,Rv2986c,Rv2882c,Rv0016c,Rv0288,Rv1631
Rv0734,Rv1857,Rv0409,Rv2103c,Rv1207,Rv2602,Rv1253,Rv3405c,Rv2010,Rv2234,Rv2002
Rv0735,Rv1469,Rv3731,Rv3744,Rv0602c,Rv1329c,Rv1162,Rv3820c,Rv2063A,Rv1013,Rv1850
Rv0736,Rv3042c,Rv1483,Rv1594,Rv2753c,Rv2194,Rv3014c,Rv2201,Rv2438c,Rv2093c,Rv3455c
Rv0737,Rv0586,Rv3229c,Rv0969,Rv0987,Rv2866,Rv1553,Rv3082c,Rv2549c,Rv0986,Rv3841
Rv0738,Rv2733c,Rv2171,Rv3413c,Rv1698,Rv1932,Rv0983,Rv2051c,Rv2476c,Rv1412,Rv0859
Rv0739,Rv3674c,Rv3504,Rv1991c,Rv3287c,Rv3339c,Rv0595c,Rv0631c,Rv2285,Rv2902c,Rv2074
Rv0740,Rv2276,Rv3024c,Rv3223c,Rv2466c,Rv1884c,Rv0130,Rv3270,Rv0020c,Rv0866,Rv0948c
Rv0741,Rv2727c,Rv2548,Rv2389c,Rv0230c,Rv1675c,Rv1911c,Rv1818c,Rv1160,Rv2149c,Rv2579
Rv0742,Rv0458,Rv1601,Rv0468,Rv3566c,Rv1650,Rv2136c,Rv2631,Rv0032,Rv2431c,Rv2482c
Rv0743c,Rv0630c,Rv1030,Rv3384c,Rv1168c,Rv2284,Rv0549c,Rv3010c,Rv1247c,Rv1736c,Rv1082
Rv0744Ac,Rv0414c,Rv1364c,Rv1560,Rv2713,Rv3547,Rv0116c,Rv3043c,Rv0583c,Rv2032,Rv2573
Rv0744c,Rv2112c,Rv0438c,Rv2922c,Rv2579,Rv3318,Rv1675c,Rv2548,Rv0230c,NONE,NONE
Rv0745,Rv3225c,Rv0054,Rv2701c,Rv1189,Rv2725c,Rv3808c,Rv1075c,Rv1771,Rv2823c,Rv1399c
Rv0746,Rv3589,Rv2596,Rv3272,Rv0418,Rv2530c,Rv3911,Rv3754,Rv2702,Rv1121,NONE
Rv0747,Rv2351c,Rv1651c,Rv0669c,Rv2158c,Rv2914c,Rv3382c,Rv2824c,Rv1997,Rv2501c,Rv0252
Rv0748,Rv0065,Rv1495,Rv3855,Rv3702c,Rv1448c,Rv1996,Rv0694,Rv0754,Rv3704c,Rv2819c
Rv0749,Rv0070c,Rv0208c,Rv1088,Rv3911,Rv0418,Rv3610c,Rv3272,Rv3062,Rv0500,Rv1258c
Rv0749A,Rv2601,Rv3310,Rv1346,Rv1736c,Rv1247c,Rv0595c,Rv1991c,Rv0631c,Rv2149c,Rv2985
Rv0750,Rv0586,Rv0987,Rv0969,Rv3082c,Rv3364c,Rv3841,Rv0858c,Rv3229c,Rv0254c,NONE
Rv0751c,Rv1185c,Rv2744c,Rv2430c,Rv1076,Rv2959c,Rv2350c,Rv2872,Rv3470c,Rv3488,Rv3203
Rv0752c,Rv1985c,Rv3740c,Rv1246c,Rv3743c,Rv1256c,Rv0629c,Rv3080c,Rv2238c,Rv3701c,Rv2245
Rv0753c,Rv1991c,Rv0595c,Rv3310,Rv3287c,Rv0631c,Rv2074,Rv1542c,Rv3674c,Rv1247c,Rv1736c
Rv0754,Rv3704c,Rv1996,Rv3702c,Rv2964,Rv1563c,Rv3316,Rv1267c,Rv1731,Rv1495,Rv3855
Rv0755A,Rv0848,Rv1372,Rv0980c,Rv2416c,Rv0505c,Rv3124,Rv1981c,Rv1103c,Rv1558,Rv3151
Rv0755c,Rv3589,Rv3272,Rv0418,Rv2596,Rv3592,Rv0478,Rv1316c,Rv3610c,Rv1604,Rv2530c
Rv0756c,Rv1474c,Rv1475c,Rv2181,Rv0079,Rv2453c,Rv0153c,Rv2215,Rv3583c,Rv2175c,Rv1699
Rv0757,Rv3615c,Rv3616c,Rv3870,Rv3882c,Rv3614c,Rv3871,Rv3877,Rv3869,Rv0190,Rv3874
Rv0758,Rv0757,Rv3615c,Rv3616c,Rv3870,Rv3882c,Rv3614c,Rv3871,Rv3877,Rv3869,Rv0190
Rv0759c,Rv0757,Rv3615c,Rv3616c,Rv3870,Rv3882c,Rv3614c,Rv3871,Rv3877,Rv3869,Rv0190
Rv0760c,Rv3272,Rv3589,Rv3610c,Rv0418,Rv0749,Rv0208c,Rv0478,Rv0070c,Rv3592,Rv3911
Rv0761c,Rv2200c,Rv1379,Rv3199c,Rv0379,Rv3654c,Rv1335,Rv3809c,Rv1089,Rv2881c,Rv1665
Rv0762c,Rv0802c,Rv0148,Rv3826,Rv1746,Rv3480c,Rv0978c,Rv3089,Rv3309c,Rv1886c,NONE
Rv0763c,Rv3794,Rv3790,Rv3526,Rv1821,Rv2525c,Rv2418c,Rv2677c,Rv1485,Rv3273,Rv3822
Rv0764c,Rv3408,Rv1980c,Rv0221,Rv3377c,Rv1876,Rv2296,Rv1983,Rv3821,Rv3409c,Rv0404
Rv0765c,Rv3862c,Rv0518,Rv3056,Rv1246c,Rv3743c,Rv2918c,Rv0977,Rv1985c,Rv2484c,Rv3740c
Rv0766c,Rv1737c,Rv1596,Rv2848c,Rv3853,Rv2031c,Rv1258c,Rv0065,Rv0070c,Rv1088,Rv3855
Rv0767c,Rv3810,Rv1822,Rv2359,Rv1538c,Rv0983,Rv0465c,Rv2613c,Rv0561c,Rv3574,Rv3131
Rv0768,Rv3146,Rv3821,Rv2962c,Rv0821c,Rv2267c,Rv2852c,Rv0624,Rv1365c,Rv2176,Rv3148
Rv0769,Rv2816c,Rv1608c,Rv2428,Rv1187,Rv1848,Rv0220,Rv1264,Rv3155,Rv3197A,Rv2521
Rv0770,Rv2031c,Rv3853,Rv1258c,Rv3878,Rv0533c,Rv3157,Rv3062,Rv2848c,Rv0500,Rv2213
Rv0771,Rv1604,Rv1316c,Rv3592,Rv0557,Rv1629,Rv0113,Rv0478,Rv2252,Rv3589,Rv2949c
Rv0772,Rv1436,Rv2397c,Rv0787A,Rv2988c,Rv2439c,Rv1415,Rv3457c,Rv0809,Rv0788,Rv1832
Rv0773c,Rv1242,Rv1103c,Rv2196,Rv0512,Rv1981c,Rv3886c,Rv0956,Rv2332,Rv1558,Rv2748c
Rv0774c,Rv0438c,Rv2112c,Rv3318,Rv2579,Rv2922c,Rv1675c,Rv2548,Rv0230c,NONE,NONE
Rv0775,Rv0221,Rv3408,Rv1980c,Rv2296,Rv1983,Rv0764c,Rv3825c,Rv1876,Rv3377c,Rv1297
Rv0776c,Rv2852c,Rv2962c,Rv3146,Rv2267c,Rv0821c,Rv1365c,Rv0445c,Rv3821,Rv3148,Rv1328
Rv0777,Rv0951,Rv3782,Rv0555,Rv2726c,Rv1094,Rv0001,Rv0685,Rv0534c,Rv3806c,Rv2361c
Rv0778,Rv2402,Rv1915,Rv1010,Rv0351,Rv0598c,Rv2029c,Rv3824c,Rv1760,Rv1843c,Rv0535
Rv0779c,Rv1563c,Rv2964,Rv3316,Rv3704c,Rv0754,Rv1267c,Rv1996,Rv3702c,Rv1341,Rv0895
Rv0780,Rv3341,Rv1416,Rv0772,Rv1436,Rv2397c,Rv3002c,Rv0787A,Rv2988c,Rv2439c,Rv1415
Rv0781,Rv0113,Rv0557,Rv0982,Rv0478,Rv2865,Rv2623,Rv3592,Rv1629,Rv1604,Rv0596c
Rv0782,Rv3488,Rv2744c,Rv2350c,Rv1185c,Rv2430c,Rv0751c,Rv2027c,Rv2232,Rv2872,Rv1561
Rv0783c,Rv3480c,Rv0802c,Rv3309c,Rv3826,Rv3086,Rv0148,Rv1368,Rv1267c,Rv3089,NONE
Rv0784,Rv0987,Rv0969,Rv3364c,Rv0586,Rv1872c,Rv2549c,Rv0277c,NONE,NONE,NONE
Rv0785,Rv1468c,Rv1328,Rv1365c,Rv1222,Rv2267c,Rv2218,Rv0821c,Rv0445c,Rv1205,Rv3297
Rv0786c,Rv2820c,Rv0386,Rv2763c,Rv1143,Rv0844c,Rv0838,Rv0301,Rv0518,Rv2918c,Rv3056
Rv0787,Rv1364c,Rv3547,Rv0583c,Rv0116c,Rv0132c,Rv0414c,Rv3043c,Rv1155,Rv1850,Rv2573
Rv0787A,Rv2988c,Rv2439c,Rv1415,Rv2397c,Rv1436,Rv3457c,Rv0788,Rv1832,Rv0772,Rv1612
Rv0788,Rv1832,Rv1409,Rv1609,Rv3602c,Rv2995c,Rv2225,Rv2192c,Rv1612,Rv1415,Rv3710
Rv0789c,Rv0956,Rv2332,Rv3886c,Rv2950c,Rv1242,Rv2196,Rv0512,Rv0934,Rv1103c,Rv3509c
Rv0790c,Rv2245,Rv0573c,Rv3701c,Rv3370c,Rv3111,Rv3010c,Rv1634,Rv1161,Rv2284,Rv2873
Rv0791c,Rv1009,Rv0937c,Rv0866,Rv2346c,Rv0091,Rv1198,Rv0385,Rv3234c,Rv3371,Rv1033c
Rv0792c,Rv1850,Rv0132c,Rv2063A,Rv2573,Rv3547,Rv1155,Rv3744,Rv0583c,Rv1364c,Rv0116c
Rv0793,Rv2112c,Rv2922c,Rv3318,Rv0438c,Rv2579,Rv1909c,Rv1160,Rv1675c,Rv0230c,NONE
Rv0794c,Rv0631c,Rv1991c,Rv0595c,Rv2285,Rv3674c,Rv3310,Rv2902c,Rv1346,Rv2149c,Rv0985c
Rv0795,Rv0554,Rv2461c,Rv3261,Rv1286,Rv2335,Rv3262,Rv2334,Rv1170,Rv3696c,Rv0899
Rv0796,Rv2461c,Rv3261,Rv1286,Rv2335,Rv3262,Rv2334,Rv1170,Rv3696c,Rv0554,Rv0899
Rv0797,Rv1876,Rv0845,Rv1983,Rv3377c,Rv1980c,Rv2296,Rv3408,Rv0643c,Rv0764c,Rv0221
Rv0798c,Rv3409c,Rv0221,Rv3408,Rv2631,Rv0764c,Rv1980c,Rv3821,Rv3619c,Rv3065,Rv2296
Rv0799c,Rv0237,Rv2780,Rv3045,Rv0670,Rv1653,Rv1931c,Rv0548c,Rv2953,Rv1400c,Rv2950c
Rv0800,Rv3808c,Rv1771,Rv0054,Rv3225c,Rv2725c,Rv2701c,Rv1189,Rv0683,Rv2299c,Rv1075c
Rv0801,Rv3853,Rv2031c,Rv2848c,Rv1737c,Rv1258c,Rv1088,Rv0070c,Rv1596,Rv3062,Rv0749
Rv0802c,Rv0148,Rv3480c,Rv3826,Rv3309c,Rv3089,Rv1368,Rv1746,NONE,NONE,NONE
Rv0803,Rv2109c,Rv1208,Rv1464,Rv3031,Rv2906c,Rv3596c,Rv0002,Rv3601c,Rv2987c,Rv2678c
Rv0804,Rv2176,Rv2878c,Rv3619c,Rv0624,Rv2970c,Rv3409c,Rv2243,Rv2855,Rv3821,Rv2631
Rv0805,Rv2939,Rv2933,Rv2941,Rv2934,Rv2932,Rv2930,Rv2931,Rv2935,Rv3518c,Rv2521
Rv0806c,Rv1237,Rv3131,Rv0470c,Rv3574,Rv1957,Rv0465c,Rv3810,Rv1538c,Rv3132c,Rv1347c
Rv0807,Rv1485,Rv2746c,Rv2537c,Rv2241,Rv0491,Rv2421c,Rv3420c,Rv3794,Rv1640c,Rv3526
Rv0808,Rv1612,Rv3457c,Rv1437,Rv2995c,Rv1832,Rv3602c,Rv0788,Rv2439c,Rv2225,Rv1609
Rv0809,Rv1559,Rv3710,Rv1409,Rv2192c,Rv1609,Rv1415,Rv0788,Rv1832,Rv2225,Rv3602c
Rv0810c,Rv2447c,Rv1293,Rv3598c,Rv2720,Rv3425,Rv2188c,Rv1527c,Rv2465c,Rv2538c,Rv3012c
Rv0811c,Rv3806c,Rv0001,Rv1094,Rv2361c,Rv0685,Rv0534c,Rv2726c,Rv1603,Rv0951,Rv0555
Rv0812,Rv1184c,Rv1633,Rv3084,Rv0407,Rv0129c,Rv2386c,Rv2215,Rv1285,Rv2589,Rv2221c
Rv0813c,Rv1433,Rv1288,Rv2211c,Rv0853c,Rv2593c,Rv2388c,Rv1077,Rv2068c,Rv2801A,Rv3379c
Rv0814c,Rv1558,Rv1027c,Rv3913,Rv0505c,Rv3124,Rv3297,Rv3378c,Rv0342,Rv0512,Rv3793
Rv0815c,Rv3420c,Rv2421c,Rv2746c,Rv1602,Rv1485,Rv1336,Rv1345,Rv0491,Rv2537c,Rv1821
Rv0816c,Rv1660,Rv1196,Rv0006,Rv2294,Rv2156c,Rv3366,Rv2299c,Rv1625c,Rv0286,Rv1161
Rv0817c,Rv2181,Rv3583c,Rv2215,Rv2175c,Rv2453c,Rv1474c,Rv1633,Rv1285,Rv2795c,Rv0079
Rv0818,Rv0930,Rv0820,Rv0929,Rv0928,Rv0924c,Rv0644c,Rv0989c,Rv0645c,Rv3696c,Rv1239c
Rv0819,Rv2007c,Rv2625c,Rv0827c,Rv3724B,Rv0282,Rv3414c,Rv0668,Rv2928,Rv0486,Rv1121
Rv0820,Rv0930,Rv0929,Rv0928,Rv0924c,Rv0644c,Rv0645c,Rv0989c,Rv3696c,Rv1239c,Rv0413
Rv0821c,Rv2267c,Rv1365c,Rv2852c,Rv3146,Rv1328,Rv1468c,Rv2962c,Rv0445c,Rv3821,Rv2218
Rv0822c,Rv2852c,Rv2962c,Rv0445c,Rv3145,Rv2416c,Rv3392c,Rv3146,Rv0848,Rv3148,Rv2267c
Rv0823c,Rv0888,Rv2027c,Rv3404c,Rv2350c,Rv1302,Rv2430c,Rv1212c,Rv0475,Rv2118c,Rv3842c
Rv0824c,Rv3914,Rv0733,Rv3032,Rv3443c,Rv3465,Rv2882c,Rv2986c,Rv0016c,Rv1631,Rv0288
Rv0825c,Rv1468c,Rv1222,Rv1328,Rv1205,Rv1365c,Rv3419c,Rv2267c,Rv2218,Rv0821c,Rv1386
Rv0826,Rv3842c,Rv0475,Rv1955,Rv1212c,Rv0823c,Rv0668,Rv3404c,Rv0888,Rv1302,Rv2118c
Rv0827c,Rv3724B,Rv2625c,Rv1121,Rv2928,Rv0486,Rv2702,Rv2596,Rv0933,Rv2252,Rv0668
Rv0828c,Rv2350c,Rv2430c,Rv0751c,Rv2744c,Rv2027c,Rv1185c,Rv3488,Rv0823c,Rv0888,Rv1302
Rv0829,Rv0982,Rv1259,Rv3240c,Rv2919c,Rv2865,Rv0496,Rv3358,Rv0596c,Rv1537,Rv0211
Rv0830,Rv3083,Rv0553,Rv3879c,Rv0938,Rv2174,Rv1020,Rv1994c,Rv0583c,Rv1155,Rv0116c
Rv0831c,Rv0404,Rv3377c,Rv0764c,Rv2187,Rv1876,Rv1980c,Rv0058,Rv0845,Rv1032c,Rv3408
Rv0832,Rv2631,Rv3409c,Rv3619c,Rv2878c,Rv1601,Rv2176,Rv0458,Rv3065,Rv2136c,Rv0624
Rv0833,Rv0845,Rv0551c,Rv0643c,Rv1876,Rv0058,Rv1695,Rv3377c,Rv3573c,Rv2924c,NONE
Rv0834c,Rv0417,Rv1484,Rv2121c,Rv0444c,Rv1306,Rv1311,Rv2742c,Rv1392,Rv3012c,Rv2440c
Rv0835,Rv3287c,Rv1542c,Rv2074,Rv2873,Rv3339c,Rv1984c,Rv1082,Rv1634,Rv3504,Rv2737c
Rv0836c,Rv3740c,Rv0629c,Rv2238c,Rv3080c,Rv1256c,Rv1246c,Rv2009,Rv1985c,Rv3607c,Rv3743c
Rv0837c,Rv0516c,Rv0447c,Rv2590,Rv0899,Rv0159c,Rv0676c,Rv3617,Rv1747,Rv3824c,Rv0598c
Rv0838,Rv0844c,Rv2820c,Rv2484c,Rv0518,Rv3056,Rv0194,Rv2763c,Rv0386,Rv3487c,Rv1143
Rv0839,Rv2332,Rv0956,Rv3886c,Rv0512,Rv1242,Rv2196,Rv2950c,Rv1103c,Rv1981c,Rv0934
Rv0840c,Rv3133c,Rv2429,Rv2006,Rv1777,Rv0182c,Rv0114,Rv0889c,Rv3089,Rv1180,NONE
Rv0841,Rv1379,Rv0761c,Rv3199c,Rv2200c,Rv0379,Rv1335,Rv2743c,Rv3654c,Rv1089,Rv1962c
Rv0842,Rv1372,Rv2748c,Rv1981c,Rv3152,Rv1266c,Rv2005c,Rv3660c,Rv0867c,Rv0980c,Rv1103c
Rv0843,Rv2821c,Rv1180,Rv1425,Rv2952,Rv0570,Rv1129c,Rv3088,Rv1029,Rv0114,Rv0889c
Rv0844c,Rv0838,Rv2820c,Rv2763c,Rv0194,Rv0386,Rv1143,Rv1552,Rv0518,Rv3056,Rv2484c
Rv0845,Rv1876,Rv3377c,Rv1983,Rv1980c,Rv0643c,Rv0058,Rv3408,Rv2296,Rv3573c,NONE
Rv0846c,Rv3464,Rv2111c,Rv2523c,Rv0510,Rv1240,Rv3846,Rv2124c,Rv2711,Rv3303c,Rv2611c
Rv0847,Rv0677c,Rv3452,Rv0908,Rv1886c,Rv1368,Rv3109,Rv3826,Rv3600c,Rv3309c,Rv0620
Rv0848,Rv2416c,Rv0980c,Rv3392c,Rv3145,Rv3151,Rv3150,Rv1372,Rv0505c,Rv3124,Rv0445c
Rv0849,Rv0006,Rv1625c,Rv0286,Rv2294,Rv1161,Rv3366,Rv1196,Rv2299c,Rv1660,Rv0977
Rv0850,Rv1991c,Rv3310,Rv0595c,Rv1247c,Rv1736c,Rv2074,Rv1168c,Rv3287c,Rv0631c,Rv1542c
Rv0851c,Rv2976c,Rv2088,Rv3328c,Rv3567c,Rv3812,Rv0234c,Rv3655c,Rv1885c,Rv0469,Rv2822c
Rv0852,Rv2112c,Rv2579,Rv0438c,Rv2922c,Rv3318,Rv1675c,Rv1160,Rv0230c,Rv2548,NONE
Rv0853c,Rv1288,Rv2801A,Rv1077,Rv1433,Rv0813c,Rv2482c,Rv1329c,Rv3379c,Rv0032,Rv3731
Rv0854,Rv2482c,Rv2801A,Rv0032,Rv1077,Rv3379c,Rv1650,Rv1288,Rv0853c,Rv1329c,Rv2388c
Rv0855,Rv3724B,Rv0827c,Rv2625c,Rv1121,Rv2928,Rv0486,Rv2702,Rv2596,Rv0933,Rv0045c
Rv0856,Rv0751c,Rv2430c,Rv2959c,Rv1185c,Rv1076,Rv2350c,Rv2744c,Rv1223,Rv2027c,Rv3203
Rv0857,Rv1253,Rv1739c,Rv2103c,Rv3841,Rv2002,Rv0254c,Rv3082c,Rv2602,Rv1857,Rv2010
Rv0858c,Rv3364c,Rv2002,Rv0254c,Rv2602,Rv3841,Rv1102c,Rv1739c,Rv3082c,Rv0409,NONE
Rv0859,Rv0860,Rv2051c,Rv2524c,Rv1700,Rv2869c,Rv2171,Rv1280c,Rv1412,Rv2151c,Rv0437c
Rv0860,Rv0859,Rv2051c,Rv2524c,Rv2869c,Rv1700,Rv2171,Rv0437c,Rv1280c,Rv1159,Rv2151c
Rv0861c,Rv1849,Rv0321,Rv1712,Rv3214,Rv3087,Rv0732,Rv3505,Rv3809c,Rv2427c,Rv2179c
Rv0862c,Rv2822c,Rv3328c,Rv0192,Rv3812,Rv3655c,Rv2976c,Rv1021,Rv2817c,Rv2818c,Rv3567c
Rv0863,Rv1180,Rv0114,Rv2821c,Rv0889c,Rv1425,Rv2006,Rv0187,Rv2688c,Rv0570,Rv1777
Rv0864,Rv1860,Rv2427c,Rv3703c,Rv1478,Rv1846c,Rv3505,Rv0191,Rv3313c,Rv1447c,Rv0693
Rv0865,Rv3364c,Rv0858c,Rv0987,Rv0254c,Rv0586,NONE,NONE,NONE,NONE,NONE
Rv0866,Rv1009,Rv2346c,Rv0937c,Rv0385,Rv0091,Rv3234c,Rv1198,Rv3371,Rv2276,Rv1033c
Rv0867c,Rv0107c,Rv3152,Rv1743,Rv2973c,Rv3150,Rv3151,Rv2573,Rv1372,Rv0980c,Rv2032
Rv0868c,Rv0132c,Rv1850,Rv2063A,Rv3547,Rv1155,Rv2573,Rv0583c,Rv1364c,Rv0116c,Rv3744
Rv0869c,Rv1410c,Rv2861c,Rv3097c,Rv2880c,Rv0073,Rv0904c,Rv2301,Rv3660c,Rv2005c,Rv1266c
Rv0870c,Rv2009,Rv1384,Rv3080c,Rv3607c,Rv3487c,Rv2238c,Rv3740c,Rv2404c,Rv0629c,Rv2484c
Rv0871,Rv3441c,Rv2743c,Rv2786c,Rv0642c,Rv2946c,Rv1335,Rv1962c,Rv2795c,Rv0014c,Rv1611
Rv0872c,Rv1222,Rv1468c,Rv1328,Rv1205,Rv3419c,Rv2218,Rv3297,Rv1365c,Rv1239c,Rv1386
Rv0873,Rv1981c,Rv1103c,Rv1242,Rv2196,Rv0512,Rv2748c,Rv1372,Rv3886c,Rv1558,Rv3660c
Rv0874c,Rv1270c,Rv0564c,Rv2228c,Rv2953,Rv3449,Rv0292,Rv1653,Rv3509c,Rv2950c,Rv0934
Rv0875c,Rv1412,Rv1700,Rv1280c,Rv1391,Rv2524c,Rv2151c,Rv0859,Rv1701,Rv0860,Rv2171
Rv0876c,Rv2496c,Rv2445c,Rv2096c,Rv1956,Rv2391,Rv3588c,Rv1908c,Rv2131c,Rv1340,Rv0462
Rv0877,Rv0475,Rv0668,Rv3842c,Rv2118c,Rv1302,Rv0045c,Rv0823c,Rv0203,Rv1955,Rv1212c
Rv0878c,Rv0848,Rv0980c,Rv1372,Rv2416c,Rv0505c,Rv3151,Rv1981c,Rv3124,Rv3150,Rv3392c
Rv0879c,Rv2745c,Rv0013,Rv2949c,Rv1114,Rv3168,Rv2252,Rv3414c,Rv0282,Rv2829c,Rv2757c
Rv0880,Rv1238,Rv1348,Rv0998,Rv0994,Rv3546,Rv0101,Rv1086,Rv0099,Rv0450c,Rv0391
Rv0881,Rv1198,Rv3371,Rv2346c,Rv0937c,Rv1009,Rv0866,Rv0091,Rv3234c,Rv0385,Rv0548c
Rv0882,Rv1475c,Rv0241c,Rv1474c,Rv2985,Rv0129c,Rv0600c,Rv2841c,Rv2215,Rv3384c,Rv3791
Rv0883c,Rv1956,Rv3588c,Rv2445c,Rv0462,Rv2110c,Rv2392,Rv3764c,Rv1248c,Rv0489,Rv1340
Rv0884c,Rv1338,Rv3137,Rv1600,Rv3003c,Rv3276c,Rv0337c,Rv3336c,Rv3789,Rv2210c,Rv3227
Rv0885,Rv2429,Rv0182c,Rv2006,Rv0233,Rv2958c,Rv1317c,Rv2407,Rv3133c,Rv2289,Rv2436
Rv0886,Rv0382c,Rv1330c,Rv0285,Rv2373c,Rv3389c,Rv1605,Rv2145c,Rv1599,Rv0558,Rv0503c
Rv0887c,Rv3383c,Rv1102c,Rv1108c,Rv0858c,Rv0409,Rv3364c,Rv0408,Rv2602,Rv2002,Rv3286c
Rv0888,Rv2027c,Rv3404c,Rv0823c,Rv1212c,Rv2430c,Rv2350c,Rv3198c,Rv0751c,Rv1302,Rv2982c
Rv0889c,Rv0114,Rv2006,Rv1180,Rv0187,Rv2688c,Rv2821c,Rv1425,Rv2289,Rv0577,Rv2429
Rv0890c,Rv2213,Rv3357,Rv1562c,Rv3754,Rv1561,Rv3878,Rv0933,Rv0500,Rv0137c,Rv3157
Rv0891c,Rv2501c,Rv3825c,Rv2351c,Rv1651c,Rv1297,Rv1552,Rv1690,Rv2349c,Rv2824c,Rv2914c
Rv0892,Rv0386,Rv2820c,Rv2763c,Rv1143,Rv0844c,Rv0301,Rv2918c,Rv0838,Rv0518,Rv0901
Rv0893c,Rv2757c,Rv1541c,Rv3414c,Rv2745c,Rv0282,Rv2043c,Rv1218c,Rv3565,Rv3130c,Rv0601c
Rv0894,Rv3886c,Rv2196,Rv2301,Rv0934,Rv1242,Rv2748c,Rv3509c,Rv3660c,Rv0956,Rv1981c
Rv0895,Rv1341,Rv3315c,Rv3307,Rv1563c,Rv1859,Rv1267c,Rv3316,Rv3480c,Rv0408,NONE
Rv0896,Rv3676,Rv0482,Rv1837c,Rv0288,Rv3923c,Rv2986c,Rv3802c,Rv3465,Rv0733,Rv3032
Rv0897c,Rv0187,Rv2688c,Rv1425,Rv0577,Rv2821c,Rv1180,Rv3203,Rv0114,Rv0889c,Rv1219c
Rv0898c,Rv1819c,Rv0019c,Rv3433c,Rv2710,Rv1221,Rv3823c,Rv3036c,Rv0009,Rv0627,Rv0981
Rv0899,Rv2590,Rv0447c,Rv0676c,Rv0516c,Rv1747,Rv0159c,Rv3469c,Rv3617,Rv3824c,Rv0598c
Rv0900,Rv2829c,Rv0126,Rv1114,Rv3168,Rv3835,Rv0626,Rv0211,Rv0596c,Rv3358,Rv2865
Rv0901,Rv0301,Rv3585,Rv2914c,Rv3382c,Rv0252,Rv1399c,Rv0669c,Rv2158c,Rv2823c,Rv1143
Rv0902c,Rv2870c,Rv3518c,Rv1938,Rv0005,Rv1169c,Rv3565,Rv1218c,Rv0013,Rv2745c,Rv1187
Rv0903c,Rv0352,Rv3722c,Rv1106c,Rv1638,Rv2752c,Rv1420,Rv3822,Rv3273,Rv2115c,Rv0490
Rv0904c,Rv1408,Rv2861c,Rv2345,Rv2880c,Rv3628,Rv1410c,Rv0869c,Rv3854c,Rv2032,Rv1560
Rv0905,Rv0475,Rv0668,Rv2118c,Rv1302,Rv3842c,Rv0045c,Rv0203,Rv0823c,Rv1955,Rv2232
Rv0906,Rv3487c,Rv1384,Rv2462c,Rv2431c,Rv3566c,Rv2484c,Rv2009,Rv3080c,Rv0468,Rv0458
Rv0907,Rv1399c,Rv1189,Rv0301,Rv2823c,Rv1075c,Rv0901,Rv3585,Rv2701c,Rv0252,Rv3225c
Rv0908,Rv0677c,Rv0847,Rv3452,Rv3600c,Rv3109,Rv1886c,Rv0986,Rv1368,Rv0620,Rv0277c
Rv0909,Rv1221,Rv0981,Rv3557c,Rv2677c,Rv3790,Rv0432,Rv2710,Rv1819c,Rv3838c,Rv3866
Rv0910,Rv3036c,Rv3433c,Rv0019c,Rv1819c,Rv0627,Rv3838c,Rv3823c,Rv2977c,Rv0009,Rv3908
Rv0911,Rv1872c,Rv0987,Rv0969,Rv0277c,Rv2549c,Rv1859,Rv0620,Rv0986,Rv3600c,Rv2866
Rv0912,Rv2088,Rv2976c,Rv0469,Rv0234c,Rv3286c,Rv3567c,Rv1897c,Rv3328c,Rv3812,Rv1885c
Rv0913c,Rv1010,Rv2402,Rv2924c,Rv0535,Rv3406,Rv3515c,Rv1213,Rv3232c,Rv1915,Rv0103c
Rv0914c,Rv0503c,Rv3389c,Rv2373c,Rv1330c,Rv0886,Rv0382c,Rv0285,Rv1182,Rv2607,Rv0153c
Rv0915c,Rv0300,Rv2495c,Rv2464c,Rv0483,Rv3803c,Rv2593c,Rv2916c,NONE,NONE,NONE
Rv0916c,Rv2586c,Rv0902c,Rv2870c,Rv0126,Rv3518c,Rv0013,Rv0900,Rv3835,Rv1938,Rv2829c
