Rv_ID,CES_calls
Rv2110c,carey_632_vs_mbio_H37Rv
Rv2157c,carey_663_vs_mbio_H37Rv
Rv2182c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv2192c,minato_minimal_plate_vs_minato_rich_plate; zhang_wt_mouse_d10_vs_zhang_input_library
Rv2210c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv2211c,minato_minimal_plate_vs_minato_rich_plate
Rv2220,carey_663_vs_mbio_H37Rv
Rv2225,carey_667_vs_mbio_H37Rv
Rv2361c,carey_663_vs_mbio_H37Rv
Rv2439c,minato_minimal_plate_vs_minato_rich_plate
Rv2477c,carey_663_vs_mbio_H37Rv; marP_KO_vs_marP_WT
Rv2509,kieser_dPonA1_vs_mbio_H37Rv
Rv2511,xu_inh_025_vs_xu_inh_0
Rv2534c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv2555c,carey_663_vs_mbio_H37Rv
Rv2747,carey_630_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv2753c,carey_663_vs_mbio_H37Rv
Rv2754c,carey_621_vs_mbio_H37Rv; carey_630_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv2846c,carey_663_vs_mbio_H37Rv
Rv2889c,carey_663_vs_mbio_H37Rv
Rv2921c,carey_667_vs_mbio_H37Rv
Rv2995c,carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv2996c,carey_621_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3001c,carey_667_vs_mbio_H37Rv
Rv3003c,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv
Rv3006,carey_663_vs_mbio_H37Rv
Rv3014c,carey_663_vs_mbio_H37Rv
Rv3028c,carey_662_vs_mbio_H37Rv
Rv3031,carey_662_vs_mbio_H37Rv
Rv3042c,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3051c,carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv
Rv3052c,carey_621_vs_mbio_H37Rv; carey_631_vs_mbio_H37Rv; carey_632_vs_mbio_H37Rv; carey_641_vs_mbio_H37Rv; carey_662_vs_mbio_H37Rv; carey_663_vs_mbio_H37Rv; carey_667_vs_mbio_H37Rv; zhang_wt_mouse_d10_vs_zhang_input_library
Rv3053c,carey_662_vs_mbio_H37Rv
