screen,both_CES,num_both_nonCES,num_CES_old_nonCES_new,num_nonCES_old_CES_new
carey_621_vs_mbio_H37Rv,8,3473,27,182
carey_630_vs_mbio_H37Rv,9,3560,24,97
carey_631_vs_mbio_H37Rv,10,3504,31,145
carey_632_vs_mbio_H37Rv,5,3537,9,139
carey_641_vs_mbio_H37Rv,6,3569,6,109
carey_662_vs_mbio_H37Rv,10,3541,8,131
carey_663_vs_mbio_H37Rv,19,3483,29,159
carey_667_vs_mbio_H37Rv,8,3531,5,146
