screen,both_CES,num_both_nonCES,num_CES_old_nonCES_new,num_nonCES_old_CES_new
carey_621_vs_carey_rv,24,3524,11,131
carey_630_vs_carey_rv,24,3614,9,43
carey_631_vs_carey_rv,15,3555,26,94
carey_632_vs_carey_rv,9,3578,5,98
carey_641_vs_carey_rv,10,3597,2,81
carey_662_vs_carey_rv,15,3565,3,107
carey_663_vs_carey_rv,38,3568,10,74
carey_667_vs_carey_rv,11,3588,2,89
