Rv_ID,Name,griffin_cholesterol_vs_griffin_glycerol,2011_Griffin_2
Rv0381c,-,1.0,0
Rv0390,-,1.0,0
Rv0806c,cpsY,1.0,0
Rv0999,-,1.0,0
Rv1283c,oppB,1.0,0
Rv1820,ilvG,1.0,0
Rv2569c,-,1.0,0
Rv2936,drrA,1.0,0
Rv2938,drrC,1.0,0
Rv2942,mmpL7,1.0,0
Rv2945c,lppX,1.0,0
Rv3135,PPE50,1.0,0
Rv3200c,-,1.0,0
Rv3484,cpsA,1.0,0
Rv3535c,hsaG,1.0,0
Rv3556c,fadA6,1.0,0
Rv3696c,glpK,1.0,0
